density,Paper,Min Time,Time opt
0.5,852648,833208,687968.1991749884
0.5,867254,865227,689580.9764586003
0.5,812902,749520,648486.2089159007
0.5,816895,798216,654292.8127032269
0.5,843619,818115,680483.9164037625
0.5,802648,831609,648587.8302313235
0.5,835692,849170,677632.4893569171
0.5,832805,812595,676624.4427130694
0.5,866282,825802,705587.8103228756
0.5,808290,820602,664365.3703929629
0.5,807825,774034,640319.2764712868
0.5,861251,816829,690307.7181537312
0.5,849649,814507,685089.6095134421
0.5,779329,769729,630414.4107754434
0.5,825513,826079,662512.398456732
0.5,831798,845490,668547.956137865
0.5,836543,882058,680043.2235309207
0.5,851156,858045,693004.7815155316
0.5,820165,834278,669099.2209609594
0.5,870560,858931,708630.5724702912
0.6,832782,848445,680994.5757418879
0.6,836462,835622,665668.3560278681
0.6,808397,767804,651305.3816708076
0.6,829482,865758,695183.7690020413
0.6,811260,822700,661962.9561917708
0.6,809305,771982,656760.4495093515
0.6,847934,828130,688680.4760887198
0.6,842110,829337,682388.2379183229
0.6,803008,824977,654464.7830271883
0.6,817531,919280,671094.6253296195
0.6,853818,825771,687968.1991749884
0.6,855496,855032,689580.9764586003
0.6,811271,754891,648486.2089159007
0.6,808532,794112,654292.8127032269
0.6,845482,793466,680483.9164037625
0.6,796666,786985,648587.8302313235
0.6,849333,872272,677632.4893569171
0.6,835230,796368,676624.4427130694
0.6,863120,828680,705587.8103228756
0.6,811628,780004,664365.3703929629
0.6,810228,768051,640319.2764712868
0.6,863569,811498,690307.7181537312
0.6,843641,790375,685089.6095134421
0.6,771399,757282,630414.4107754434
0.6,824298,827291,662512.398456732
0.6,833641,834541,668547.956137865
0.6,840473,867809,680043.2235309207
0.6,851937,833045,693004.7815155316
0.6,817924,845575,669099.2209609594
0.6,875648,840117,708630.5724702912
0.7,830049,884438,680994.5757418879
0.7,835196,822746,665668.3560278681
0.7,805655,805042,651305.3816708076
0.7,834262,907008,695183.7690020413
0.7,808889,799735,661962.9561917708
0.7,812540,786447,656760.4495093515
0.7,844125,804814,688680.4760887198
0.7,845252,843509,682388.2379183229
0.7,801791,812579,654464.7830271883
0.7,822817,870238,671094.6253296195
0.7,860514,801266,687968.1991749884
0.7,864162,835720,689580.9764586003
0.7,811126,750339,648486.2089159007
