P,n,File_number,regular,fat,jump,density,Paper,Time opt,Makespan,Model
31,8192,100,33,0.728034,0.112467,2.0,0.434197,66156.25102178032,46788.20429050843,1.413951486810981,Amdahl
32,512,600,21,0.830316,0.216257,9.0,0.535044,109820.0815645754,52756.84973603863,2.0816269757205843,Amdahl
33,4096,300,59,0.145154,0.216152,5.0,0.227988,59847.53726244192,42340.53497124568,1.4134808949174968,Amdahl
34,512,100,30,0.311593,0.494797,1.0,0.411192,57539.33162633674,40347.71451518567,1.4260865161192875,Amdahl
35,512,400,65,0.341813,0.131667,6.0,0.445843,94002.52727791776,60466.577944996374,1.5546196009873003,Amdahl
36,512,600,87,0.701721,0.485789,10.0,0.896196,145237.4756516908,86157.87985954233,1.6857132033478788,Amdahl
37,512,200,34,0.193941,0.777444,3.0,0.390147,45165.33130077368,29532.257032924113,1.5293558921155601,Amdahl
38,256,100,19,0.894956,0.277955,6.0,0.168629,29717.654219113072,17027.2207522652,1.7453026921706887,Amdahl
39,2048,200,22,0.81636,0.60347,9.0,0.214718,18106.657403587284,11693.687363205381,1.5484129890936327,Amdahl
40,512,600,12,0.428009,0.498308,10.0,0.506425,110982.0583998497,53028.096055400216,2.0928916302011493,Amdahl
41,2048,900,43,0.238553,0.709156,3.0,0.720007,127292.7466982791,82766.23374934636,1.537979208813333,Amdahl
42,8192,500,56,0.178558,0.3637,3.0,0.260735,162095.7411684508,106691.21035251523,1.5192979874619017,Amdahl
43,4096,200,90,0.517281,0.702481,8.0,0.62128,55257.37254741964,36308.61704382817,1.5218803977226234,Amdahl
44,512,900,13,0.562432,0.233763,7.0,0.153198,94783.23752493698,44574.09087554049,2.1264199821728313,Amdahl
45,256,200,50,0.733229,0.521202,1.0,0.840543,139635.16856278767,101918.9751009342,1.3700605645268873,Amdahl
46,512,300,76,0.699195,0.767005,6.0,0.690699,55878.88353000562,37142.578131859176,1.5044427807792726,Amdahl
47,512,200,19,0.278484,0.749344,3.0,0.268131,37603.07273878408,27200.313213753878,1.3824499903100393,Amdahl
48,512,800,67,0.467215,0.250236,2.0,0.546734,423587.75585129653,262920.2939257796,1.6110880964208574,Amdahl
49,128,500,88,0.614454,0.398912,3.0,0.295666,177579.33183019582,69672.06776194289,2.5487880227260216,Amdahl
50,8192,800,36,0.54861,0.334123,4.0,0.231242,128058.79671849353,85731.57829816201,1.4937179422163858,Amdahl
51,1024,900,57,0.861978,0.65095,2.0,0.852374,136688.030394259,97683.68369178884,1.3992923406281084,Amdahl
52,256,900,9,0.16733,0.639422,10.0,0.553734,198374.15727795038,58495.11282531449,3.391294549176448,Amdahl
53,4096,500,26,0.485154,0.675732,9.0,0.478628,72167.07815352373,46622.014147761576,1.5479184988619508,Amdahl
54,512,100,51,0.859956,0.135467,8.0,0.542046,81516.4313344071,58292.64758467105,1.398399879092867,Amdahl
55,128,400,66,0.277529,0.465338,10.0,0.361489,161308.32441782724,60374.568463500866,2.6717925862334795,Amdahl
56,512,100,57,0.773757,0.558521,9.0,0.472199,46172.770849075816,28867.936236243444,1.5994482761502813,Amdahl
57,8192,300,67,0.593592,0.272399,5.0,0.6807,139797.56540221133,70498.40280997702,1.9829891150729304,Amdahl
58,4096,800,87,0.759213,0.430835,5.0,0.751711,248118.38307033046,150308.73037763743,1.6507250273949816,Amdahl
59,1024,800,34,0.613512,0.287316,6.0,0.205666,144480.90118245297,55694.56199028251,2.5941653191861307,Amdahl
60,128,200,70,0.413382,0.599422,3.0,0.517703,83512.18094898631,44436.25183454351,1.879370502713423,Amdahl
61,8192,700,43,0.506619,0.290083,7.0,0.498927,206027.5184811537,98802.02232093838,2.0852560872885273,Amdahl
