density,Paper,Min Time,Time opt
0.6,836707.6429200672,1544812.8324746536,654464.7830271883
0.7,848790.26141872,1549716.0323638988,654464.7830271883
0.8,878172.5845401615,1552699.681577353,654464.7830271883
0.9,840832.5986321531,1555434.6014227595,654464.7830271883
1,809388.0550530743,1523274.679322641,654464.7830271883
0.1,805820.7687310101,1633057.2395003173,671094.6253296196
0.2,803493.30577176,1611815.8144764628,671094.6253296196
0.3,825397.264117229,1606625.2914142439,671094.6253296196
0.4,840905.9343617191,1545205.225703423,671094.6253296196
0.5,825512.9898714122,1555250.2842990807,671094.6253296196
0.6,861541.5928203398,1549249.6922216685,671094.6253296196
0.7,828823.4550225575,1570457.3852792298,671094.6253296196
0.8,873848.1892057471,1527158.6302865217,671094.6253296196
0.9,882092.2801836542,1567315.89685692,671094.6253296196
1,926445.6451281547,1593818.1860733414,671094.6253296196
