Fat,Paper,Min Time,Time opt
0.5,865907.5770314719,997740.6419929225,688680.4760887198
0.6,850182.5831158222,969356.3275700235,688680.4760887198
0.7,848211.5224471227,872725.1828321042,688680.4760887198
0.8,860030.0271747385,832797.6498298418,688680.4760887198
0.9,856468.9008738293,755452.3604520854,688680.4760887198
1,865032.1496515991,776915.029326404,688680.4760887198
0.1,2007577.0124359017,1088869.1789077362,1088869.1789077362
0.2,1020137.7644228616,1018699.6636933067,682388.2379183229
0.3,919090.089882027,1011090.9594722376,682388.2379183229
0.4,858579.0473852601,964309.8126669935,682388.2379183229
0.5,847271.7892286639,967521.9898120728,682388.2379183229
0.6,850782.7989318386,924504.5212862996,682388.2379183229
0.7,847618.1156782566,894458.5606858652,682388.2379183229
0.8,850290.0764563573,792191.7730931425,682388.2379183229
0.9,862868.3522335008,745595.4264628205,682388.2379183229
1,826588.3973440669,708351.3616077072,682388.2379183229
0.1,1976806.136976969,1144684.3916978522,1144684.3916978522
0.2,1077545.7032984942,1061034.354583654,654464.7830271883
0.3,874152.3381533268,991522.1759847999,654464.7830271883
0.4,823471.1950457788,983810.583796273,654464.7830271883
0.5,833348.7030593614,965957.9235989712,654464.7830271883
0.6,816228.6187075791,892165.027350265,654464.7830271883
0.7,809067.1819321532,790736.5802079249,654464.7830271883
0.8,817114.736945486,789198.070420002,654464.7830271883
0.9,794992.8492594839,716470.1964333496,654464.7830271883
1,796877.8837718149,689340.8876489823,654464.7830271883
0.1,2141765.292043454,1320833.9012269292,1320833.9012269292
0.2,1091650.5755973796,1198802.0588309346,671094.6253296195
0.3,936595.7539199778,1151533.4345154343,671094.6253296195
0.4,840428.846835237,1091785.7910976198,671094.6253296195
0.5,860709.8610875009,1090578.4815664312,671094.6253296195
0.6,836270.081290786,1000681.3574522184,671094.6253296195
0.7,822686.3564035892,954251.7939878299,671094.6253296195
0.8,829301.4378828713,827437.9400265159,671094.6253296195
0.9,830399.8219956835,760544.0103285846,671094.6253296195
1,830706.0885053044,712293.765159586,671094.6253296195
