P,n,Paper,Min Time,Time opt,mtsa
1300,900,2112072.556705902,1784304.5976528695,1385100.4835741497,1.5248515048206859
4000,600,409991.6139321383,473487.7498001211,304032.2411859892,1.3485136060991945
4100,800,558675.648803113,599367.4125331593,398451.7165549414,1.4021163056680641
600,900,4912369.509901393,3278313.121311638,3001051.047743991,1.63688302256445
100,600,20268816.079065926,12161289.647439556,12161289.647439567,1.6666666666666652
2100,1000,1432518.2097208584,1516620.5438857172,974725.9889324391,1.4696624753894296
2600,500,567718.4057092892,657071.7309524732,392881.4860049353,1.4450118570925934
400,100,837104.1955731708,528687.1928203738,507243.5696873019,1.650300261251644
1000,1000,3223208.45732544,2453430.603202376,2046924.5767581223,1.5746591222380515
1100,700,2010485.6040281465,1643795.425740163,1295674.045201925,1.5516908835777605
4100,400,257293.59784719002,301233.56405885896,192812.03875320547,1.3344270384305168
5000,1000,550210.1893400848,558944.9823603468,409384.9153516244,1.3439923375474259
2200,1000,1328562.2899550258,1451571.048894638,930420.2621627828,1.4279163341378152
1100,200,596534.6639793456,418029.24870340765,366975.56640787574,1.6255432747703042
4600,500,319449.5410014097,331146.80892816285,222063.44861148516,1.4385507520434306
2200,200,272799.982443431,247368.37713663126,183487.78320393787,1.4867473881911086
2800,800,828585.99741894,1015706.6319660671,583447.1563840213,1.4201560301608014
3500,100,84431.29866273486,99608.29991325334,57970.693678548785,1.4564479619807869
3800,600,436946.0895440974,523609.07731633395,320033.938090515,1.3653117295969912
2500,600,692579.3907165491,839573.6177218362,486451.5858975827,1.4237375533242984
3200,200,185737.02362422532,187400.0047266661,126147.85095270729,1.4723756466834932
1700,700,1279569.0527604294,1202328.4854680514,838377.3233659515,1.5262448268795765
800,700,2842038.9564442527,2070875.953492376,1781551.8121526472,1.5952603438517008
3700,300,246525.5273519171,301599.33346183423,169778.25212147977,1.4520442063187402
2400,200,243775.1215246882,239188.89040604242,168197.1346036097,1.4493417031104197
3200,900,768965.5261752456,914102.1638377937,562697.0714519983,1.3665710471728363
2300,900,1111159.835781174,1202173.3717462507,782882.8820201715,1.4193180886953463
3800,400,280196.2032590821,375172.55237432505,208034.04181266908,1.3468766977636946
800,900,3579257.907372293,2527206.775878506,2250788.2858079933,1.5902241583274468
300,900,10001157.190866755,6104745.986484493,6002102.095487982,1.6662757533539827
3600,300,246165.85389119168,295622.979936065,174494.31468040976,1.4107385351898138
3700,700,544045.7033988987,651304.9196027373,385200.3918167886,1.4123705867299874
3000,100,111948.87665893455,121336.79274279959,67632.47595830692,1.655253265131786
500,500,3326450.546998816,2219267.1838000496,2042983.7272256636,1.6282315432419416
1200,500,1297641.0677078925,1120807.046550478,851243.2196773599,1.5244069353054317
100,800,27227533.964587707,16336520.378752604,16336520.378752597,1.6666666666666694
3200,500,453047.71726271324,606305.3081077359,319216.2073790099,1.419250360069604
2200,900,1177781.7830484041,1212765.7512706327,818468.4675665429,1.4390069131803767
1200,100,265210.61161925667,216754.82801348495,169081.18989576728,1.5685400119478095
4300,900,555197.4616847642,571362.7163663238,418751.3089875336,1.3258405401218523
