n,Paper,Min Time,Time opt
900,8388114,11717977,1228368.728502434
900,8271343,10698243,1169361.2974597204
900,9439345,12001134,1219326.525939064
900,7715176,9457428,1191940.3539242437
900,7709521,10298970,1166627.4880490315
900,9766600,13108991,1214516.825077578
900,9646662,12524581,1231398.2774890924
900,7867800,10271165,1197346.2944274405
900,8283455,10514536,1183901.9017217208
900,7762985,10173390,1173717.6219892078
900,8759310,12051862,1179533.039436119
900,8983379,12138663,1183570.9721648926
900,8798308,12315485,1175380.3988256436
900,8705809,12155728,1227434.1126656034
900,8744221,11704514,1210157.5620000996
900,9197310,12438509,1198654.9790071456
900,8383138,10898598,1209524.9465744616
1000,11050970,16398512,5569285.250143603
1000,9751552,14025036,5158424.717834199
1000,10849629,15725395,5146954.141232371
1000,9498281,14460668,4360197.806188512
1000,10926040,16191534,5057505.374763292
1000,9095848,13295758,5189570.918134202
1000,10245393,15037926,5112695.416426522
1000,11017585,16162644,5273694.033040746
1000,11289548,16254927,5324419.162308866
1000,8562997,12433785,4649207.229515887
1000,8986235,11459610,1329865.33463068
1000,9528129,12710369,1346562.2045410827
1000,9566537,13268324,1311863.727742892
1000,9558243,12274912,1339002.7337044496
1000,9609406,13852761,1330630.5973270081
1000,9195946,12007475,1350746.7576722526
1000,8787325,11477307,1331111.5480749963
1000,9292063,12179851,1350341.092615029
1000,11385048,15076400,1337771.268515034
1000,9449781,12735476,1309840.9385758806
1000,9938791,13658854,1329887.784140817
1000,10289308,13539995,1300477.850969946
1000,9668709,12700797,1303720.344477205
1000,9905190,12141040,1327812.6455256327
1000,8655360,12379058,1303887.4897683451
1000,9453583,12564225,1320663.8621760192
1000,10346440,13081420,1297756.9143654632
1000,10545662,14231316,1336406.4313907234
1000,10046120,13710757,1361453.3889902541
1000,8447603,11076126,1333820.8931205326
