regular,Paper,Min Time,Time opt
0.6,995224.3885287677,995240.1113859182,661964.7892956203
0.7,983887.5036115297,983903.2264686802,661964.7892956203
0.8,997341.0162406628,997336.4151185959,661964.7892956203
0.9,981036.3463986241,981685.4534120287,661964.7892956203
1,961385.2282587729,961380.627136706,661964.7892956203
0.1,894453.9778728359,894453.9778728359,656762.2775112868
0.2,904681.0209721224,904668.2234931788,656762.2775112868
0.3,906919.970402637,906919.970402637,656762.2775112868
0.4,914357.5124683575,914357.5124683575,656762.2775112868
0.5,931911.2256928039,931911.2256928039,656762.2775112868
0.6,901338.9477003347,901338.9477003347,656762.2775112868
0.7,947369.8263754866,947369.8263754866,656762.2775112868
0.8,915734.8491515935,915734.8491515935,656762.2775112868
0.9,906384.7158093702,906371.9183304266,656762.2775112868
1,932080.2434982315,932067.4460192879,656762.2775112868
0.1,973332.1242086006,973332.1242086006,688682.2888688851
0.2,967203.0456050892,967203.0456050892,688682.2888688851
0.3,992843.3142681705,992837.5849168197,688682.2888688851
0.4,939447.2441605671,939441.5148092164,688682.2888688851
0.5,999930.7956890651,999930.7956890651,688682.2888688851
0.6,956500.5956514867,956507.9276029035,688682.2888688851
0.7,985001.634546351,985008.9664977678,688682.2888688851
0.8,980282.4361883546,980276.7068370039,688682.2888688851
0.9,996681.8638373332,996681.8638373332,688682.2888688851
1,979609.0051824563,979609.0051824563,688682.2888688851
0.1,940533.7613933275,940528.5791841254,682390.0572946991
0.2,919210.0518900941,922490.0256352138,682390.0572946991
0.3,962257.6845964435,962252.5023872415,682390.0572946991
0.4,957110.0246739765,957130.6376469673,682390.0572946991
0.5,955759.6352805012,955780.2482534918,682390.0572946991
0.6,919431.4067868431,919426.224577641,682390.0572946991
0.7,941435.2472136242,941430.0650044221,682390.0572946991
0.8,963377.2238519854,963372.0416427836,682390.0572946991
0.9,966889.5021476672,966884.3199384654,682390.0572946991
1,937517.0438778094,937844.1736450443,682390.0572946991
0.1,959850.6039111143,959848.2329261594,654466.7297662625
0.2,927833.365636226,931273.6131529612,654466.7297662625
0.3,955427.3055235359,955418.447512368,654466.7297662625
0.4,971489.5526754088,971480.6946642408,654466.7297662625
0.5,927522.8207494967,912461.0337056806,654466.7297662625
0.6,954184.9243751428,954176.0663639748,654466.7297662625
0.7,939935.4525194316,944055.8539096331,654466.7297662625
0.8,947762.8488317383,947803.6547979752,654466.7297662625
0.9,973085.9715353712,973126.777501608,654466.7297662625
1,947791.054075313,947782.1960641451,654466.7297662625
0.1,1035861.2132196638,1035861.2132196638,671096.4806446494
0.2,1072143.9892521673,1072143.9892521673,671096.4806446494
0.3,1039805.4548003534,1039805.4548003534,671096.4806446494
0.4,1099104.2465662488,1099104.2465662488,671096.4806446494
0.5,1103576.048171531,1103576.048171531,671096.4806446494
0.6,1098975.728714301,1098975.728714301,671096.4806446494
0.7,1101798.2370317325,1101798.2370317325,671096.4806446494
0.8,1137967.2419935423,1137967.2419935423,671096.4806446494
0.9,1103776.0261657648,1103776.0261657648,671096.4806446494
1,1121059.3108053992,1121059.3108053992,671096.4806446494
