fat,Paper,Min Time,Time opt
0.2,2190481,1799197,1355696.4697281725
0.2,2220015,1863556,1373164.1335332
0.2,2178807,1921039,1348156.4078973227
0.2,2226932,1942316,1374447.6033909041
0.2,2378941,2018785,1463343.0766804786
0.2,2282614,1893755,1418024.3158392746
0.2,2231921,1956897,1376587.70112533
0.3,1357015,1631215,820640.9682921763
0.3,1307918,1664643,799705.3019524646
0.3,1314466,1591926,803824.7790499447
0.3,1378449,1661248,818938.7638504644
0.3,1342677,1659451,827763.8252382833
0.3,1276795,1550813,766969.648229285
0.3,1309746,1636837,795328.5550999091
0.3,1304181,1645208,793460.9220780972
0.3,1348208,1572145,823737.583379931
0.3,1534564,1623513,936518.1053002594
0.3,1267929,1678817,774223.1876043845
0.3,1372614,1711420,834762.3122718078
0.3,1342713,1568710,817064.6536745826
0.3,1255819,1545352,748311.4552081928
0.3,1377112,1627030,821589.7544314736
0.3,1333651,1573488,803967.9866049853
0.3,1434290,1643479,875985.5139243979
0.3,1339368,1662507,813037.5313953644
0.3,1386424,1718942,842933.8880837451
0.3,1323166,1551542,815559.2264632542
0.3,1357479,1582720,816365.0512998364
0.3,1387704,1672625,845724.3499992418
0.3,1350284,1616247,808812.0501878378
0.3,1258185,1488612,756296.1422655052
0.3,1371127,1610472,831026.9208670208
0.3,1309277,1632915,804579.5973302013
0.3,1359830,1650541,829046.8435784634
0.3,1338595,1673264,799696.5939965372
0.3,1313749,1593364,797070.5598475491
0.3,1390357,1682698,830943.0580761367
0.4,927620,1533056,680994.575741888
0.4,895619,1494743,665668.3560278681
0.4,859456,1438931,651305.3816708077
0.4,987798,1537080,695183.7690020413
0.4,940592,1492506,661962.9561917708
0.4,908123,1471583,656760.4495093515
0.4,910097,1557410,688680.4760887198
0.4,904908,1576475,682388.2379183229
0.4,889421,1465017,654464.7830271883
0.4,999292,1488121,671094.6253296196
0.4,885501,1563428,687968.1991749887
0.4,952916,1547275,689580.9764586004
0.4,839401,1470850,648486.2089159007
0.4,913194,1471488,654292.812703227
0.4,959907,1528391,680483.9164037626
0.4,971942,1509636,648587.8302313236
0.4,938448,1520047,677632.4893569172
0.4,903937,1553044,676624.4427130695
0.4,924265,1586771,705587.8103228756
0.4,859510,1501745,664365.370392963
0.4,859857,1471235,640319.276471287
0.4,918318,1558432,690307.7181537312
0.4,882270,1526455,685089.6095134421
0.4,837937,1422182,630414.4107754435
0.4,986871,1515879,662512.3984567322
0.4,895405,1516858,668547.9561378651
0.4,957114,1529939,680043.2235309207
0.4,918328,1557383,693004.7815155316
0.4,938298,1478584,669099.2209609596
0.4,889664,1584555,708630.5724702912
0.5,812150,1478798,680994.575741888
0.5,814397,1469227,665668.3560278681
0.5,782377,1395075,651305.3816708077
0.5,850794,1486217,695183.7690020413
0.5,807456,1446246,661962.9561917708
0.5,786501,1417689,656760.4495093515
0.5,826755,1494438,688680.4760887198
0.5,821766,1520105,682388.2379183229
0.5,782510,1446671,654464.7830271883
0.5,825434,1434076,671094.6253296196
0.5,822492,1513708,687968.1991749887
0.5,835294,1510151,689580.9764586004
0.5,782955,1417426,648486.2089159007
0.5,783163,1421532,654292.812703227
0.5,805761,1479282,680483.9164037626
0.5,812922,1427250,648587.8302313236
0.5,829679,1477438,677632.4893569172
0.5,809907,1501254,676624.4427130695
0.5,854511,1512080,705587.8103228756
0.5,802153,1434659,664365.370392963
0.5,786759,1417686,640319.276471287
0.5,816646,1508887,690307.7181537312
0.5,820806,1486534,685089.6095134421
0.5,757115,1375980,630414.4107754435
0.5,805937,1446214,662512.3984567322
0.5,789222,1457227,668547.9561378651
0.5,844689,1469070,680043.2235309207
0.5,818877,1504452,693004.7815155316
0.5,790427,1439062,669099.2209609596
0.5,843177,1537587,708630.5724702912
0.6,797772,1437018,680994.575741888
0.6,779182,1428123,665668.3560278681
0.6,761030,1381020,651305.3816708077
0.6,810941,1443168,695183.7690020413
0.6,775635,1409708,661962.9561917708
0.6,775865,1394163,656760.4495093515
0.6,805156,1462989,688680.4760887198
0.6,801747,1474290,682388.2379183229
0.6,766732,1396390,654464.7830271883
0.6,781823,1368131,671094.6253296196
0.6,815431,1461767,687968.1991749887
0.6,809151,1468773,689580.9764586004
0.6,760159,1394028,648486.2089159007
0.6,770617,1387999,654292.812703227
0.6,801440,1448703,680483.9164037626
0.6,752073,1369346,648587.8302313236
0.6,790269,1441076,677632.4893569172
0.6,794849,1454944,676624.4427130695
0.6,830351,1461961,705587.8103228756
0.6,775008,1414120,664365.370392963
0.6,754359,1361798,640319.276471287
0.6,811570,1455511,690307.7181537312
0.6,798483,1445782,685089.6095134421
0.6,740974,1350523,630414.4107754435
0.6,773109,1403194,662512.3984567322
0.6,787079,1440631,668547.9561378651
0.6,802825,1462708,680043.2235309207
0.6,825624,1476245,693004.7815155316
0.6,788500,1399041,669099.2209609596
0.6,827864,1508897,708630.5724702912
0.7,790567,1402494,680994.575741888
0.7,781166,1401404,665668.3560278681
0.7,755650,1343816,651305.3816708077
0.7,799509,1399402,695183.7690020413
0.7,775943,1393754,661962.9561917708
0.7,765533,1358737,656760.4495093515
0.7,794577,1413220,688680.4760887198
0.7,790891,1440402,682388.2379183229
0.7,759680,1353768,654464.7830271883
0.7,778990,1382044,671094.6253296196
0.7,800465,1427760,687968.1991749887
0.7,803033,1436625,689580.9764586004
0.7,756227,1357723,648486.2089159007
0.7,781043,1352372,654292.812703227
0.7,792517,1427987,680483.9164037626
0.7,746419,1339776,648587.8302313236
0.7,787744,1438837,677632.4893569172
0.7,788290,1438941,676624.4427130695
0.7,812793,1453627,705587.8103228756
0.7,765073,1364448,664365.370392963
0.7,741786,1321250,640319.276471287
0.7,796668,1427641,690307.7181537312
0.7,794753,1400099,685089.6095134421
0.7,736874,1317824,630414.4107754435
0.7,801829,1386429,662512.3984567322
0.7,778365,1405027,668547.9561378651
0.7,803725,1434887,680043.2235309207
0.7,805194,1453046,693004.7815155316
0.7,771155,1382392,669099.2209609596
0.7,829312,1489857,708630.5724702912
0.8,786153,1386788,680994.575741888
0.8,761361,1357125,665668.3560278681
0.8,746705,1314755,651305.3816708077
0.8,794469,1375027,695183.7690020413
0.8,769926,1354884,661962.9561917708
0.8,762124,1340349,656760.4495093515
0.8,789365,1403518,688680.4760887198
0.8,785792,1426213,682388.2379183229
0.8,752267,1325095,654464.7830271883
0.8,781118,1348597,671094.6253296196
