density,Paper,Min Time,Time opt
0.7,1072476,1511716,682388.2379183229
0.7,1039370,1428398,654464.7830271883
0.7,1046614,1455594,671094.6253296196
0.7,1083679,1520583,687968.1991749887
0.7,1081756,1485469,689580.9764586004
0.7,1046604,1451742,648486.2089159007
0.7,1036696,1435440,654292.812703227
0.7,1091990,1493312,680483.9164037626
0.7,1037100,1397949,648587.8302313236
0.7,1063687,1466707,677632.4893569172
0.7,1082885,1504672,676624.4427130695
0.7,1099052,1513187,705587.8103228756
0.7,1064904,1457041,664365.370392963
0.7,1025069,1424922,640319.276471287
0.7,1084436,1504765,690307.7181537312
0.7,1077411,1489522,685089.6095134421
0.7,998080,1398181,630414.4107754435
0.7,1051942,1457312,662512.3984567322
0.7,1070784,1470814,668547.9561378651
0.7,1079507,1477583,680043.2235309207
0.7,1075727,1514547,693004.7815155316
0.7,1035702,1435361,669099.2209609596
0.7,1113825,1561704,708630.5724702912
0.8,1090422,1503451,680994.575741888
0.8,1066811,1489062,665668.3560278681
0.8,1048405,1408436,651305.3816708077
0.8,1075240,1498648,695183.7690020413
0.8,1042289,1456868,661962.9561917708
0.8,1046659,1426578,656760.4495093515
0.8,1066249,1522083,688680.4760887198
0.8,1072070,1508468,682388.2379183229
0.8,1056492,1423713,654464.7830271883
0.8,1033341,1438275,671094.6253296196
0.8,1072177,1517376,687968.1991749887
0.8,1089653,1501445,689580.9764586004
0.8,1050549,1455361,648486.2089159007
0.8,1043417,1453837,654292.812703227
0.8,1091241,1495797,680483.9164037626
0.8,1032022,1425363,648587.8302313236
0.8,1056546,1489287,677632.4893569172
0.8,1078628,1500337,676624.4427130695
0.8,1102002,1544148,705587.8103228756
0.8,1071197,1442150,664365.370392963
0.8,1019503,1407062,640319.276471287
0.8,1082852,1497429,690307.7181537312
0.8,1080081,1499411,685089.6095134421
0.8,1009997,1407462,630414.4107754435
0.8,1046390,1454593,662512.3984567322
0.8,1069509,1483143,668547.9561378651
0.8,1087303,1516133,680043.2235309207
0.8,1082153,1538219,693004.7815155316
0.8,1044360,1427782,669099.2209609596
0.8,1115841,1533384,708630.5724702912
0.9,1090304,1500333,680994.575741888
0.9,1061401,1475149,665668.3560278681
0.9,1046344,1424261,651305.3816708077
0.9,1074982,1457331,695183.7690020413
0.9,1040102,1492821,661962.9561917708
0.9,1048596,1417337,656760.4495093515
0.9,1080464,1518351,688680.4760887198
0.9,1074609,1499199,682388.2379183229
0.9,1044374,1429642,654464.7830271883
0.9,1032746,1449261,671094.6253296196
0.9,1075303,1523478,687968.1991749887
0.9,1083256,1538309,689580.9764586004
0.9,1050363,1457918,648486.2089159007
0.9,1035611,1438422,654292.812703227
0.9,1100479,1501151,680483.9164037626
0.9,1039392,1422516,648587.8302313236
0.9,1066859,1505807,677632.4893569172
0.9,1083675,1492764,676624.4427130695
0.9,1102324,1534944,705587.8103228756
0.9,1069468,1465510,664365.370392963
0.9,1028857,1400918,640319.276471287
0.9,1075923,1506086,690307.7181537312
0.9,1089099,1496039,685089.6095134421
0.9,996214,1403710,630414.4107754435
0.9,1053901,1455112,662512.3984567322
0.9,1077044,1479485,668547.9561378651
0.9,1084239,1485225,680043.2235309207
0.9,1077067,1521811,693004.7815155316
0.9,1041461,1435493,669099.2209609596
0.9,1122051,1563415,708630.5724702912
1,1100993,1479883,680994.575741888
1,1074525,1475651,665668.3560278681
1,1049809,1432623,651305.3816708077
1,1082315,1464592,695183.7690020413
1,1043360,1461752,661962.9561917708
1,1049534,1457818,656760.4495093515
1,1077665,1515929,688680.4760887198
1,1074449,1516087,682388.2379183229
1,1049392,1440567,654464.7830271883
1,1047090,1461042,671094.6253296196
1,1081101,1516039,687968.1991749887
1,1083618,1505984,689580.9764586004
1,1046256,1436514,648486.2089159007
1,1042506,1436777,654292.812703227
1,1096261,1502801,680483.9164037626
1,1033421,1430188,648587.8302313236
1,1062667,1491137,677632.4893569172
1,1090519,1536444,676624.4427130695
1,1102839,1528892,705587.8103228756
1,1077014,1459113,664365.370392963
1,1021316,1432426,640319.276471287
1,1086710,1528210,690307.7181537312
1,1091547,1505645,685089.6095134421
1,1000065,1374899,630414.4107754435
1,1056515,1438836,662512.3984567322
1,1075586,1478520,668547.9561378651
1,1086114,1515969,680043.2235309207
1,1084509,1522579,693004.7815155316
1,1046464,1451831,669099.2209609596
1,1127907,1549535,708630.5724702912
