density,Paper,Min Time,Time opt
1,1041926.7496327144,1082386.981671282,682390.0572946991
0.1,1087836.7270967246,1116670.863979908,654466.7297662625
0.2,1094865.747764126,1119996.301835956,654466.7297662625
0.3,1073506.433011188,1125667.9326746396,654466.7297662625
0.4,1029419.5124297654,1066884.9876458782,654466.7297662625
0.5,1092613.0567375186,1093773.0526615463,654466.7297662625
0.6,1081379.6098444916,1069019.714859219,654466.7297662625
0.7,1032508.2595453766,1057410.7594317193,654466.7297662625
0.8,1029057.8514701682,1057515.981293007,654466.7297662625
0.9,1035144.3373959983,1075216.4389487382,654466.7297662625
1,1012282.353959946,1012685.142444816,654466.7297662625
0.1,1203556.2663345449,1224633.0577600591,671096.4806446494
0.2,1129520.2813894083,1245818.6293285394,671096.4806446494
0.3,1148407.8440687323,1228957.6986699856,671096.4806446494
0.4,1153841.0546828292,1186973.872726216,671096.4806446494
0.5,1161347.2545611218,1163398.9848312084,671096.4806446494
0.6,1146967.9314289286,1226395.4624660595,671096.4806446494
0.7,1098751.8710526912,1171248.9841237408,671096.4806446494
0.8,1118537.1292464018,1203525.947190398,671096.4806446494
0.9,1133128.0577113864,1189810.3218665794,671096.4806446494
1,1120328.072810489,1182576.0069651708,671096.4806446494
