=== START Bayesian search: 2D search ===
Grid size: 861
Initial random evals: 20, Max evals: 100, kappa=1.0
Completed computation for 130 (mu,alpha):(0.1, 1.8) Algo:Area P:128 n:400 
Completed computation for 131 (mu,alpha):(0.1, 1.8) Algo:Area P:1024 n:700 
Completed computation for 132 (mu,alpha):(0.1, 1.8) Algo:Area P:128 n:300 
Completed computation for 133 (mu,alpha):(0.1, 1.8) Algo:Area P:4096 n:500 
Completed computation for 134 (mu,alpha):(0.1, 1.8) Algo:Area P:256 n:500 
Completed computation for 135 (mu,alpha):(0.1, 1.8) Algo:Area P:512 n:500 
Completed computation for 136 (mu,alpha):(0.1, 1.8) Algo:Area P:128 n:800 
Completed computation for 137 (mu,alpha):(0.1, 1.8) Algo:Area P:128 n:400 
Completed computation for 138 (mu,alpha):(0.1, 1.8) Algo:Area P:2048 n:600 
Completed computation for 139 (mu,alpha):(0.1, 1.8) Algo:Area P:4096 n:100 
Completed computation for 140 (mu,alpha):(0.1, 1.8) Algo:Area P:256 n:900 
Completed computation for 141 (mu,alpha):(0.1, 1.8) Algo:Area P:2048 n:500 
Completed computation for 142 (mu,alpha):(0.1, 1.8) Algo:Area P:1024 n:500 
Completed computation for 143 (mu,alpha):(0.1, 1.8) Algo:Area P:128 n:200 
Completed computation for 144 (mu,alpha):(0.1, 1.8) Algo:Area P:8192 n:200 
Completed computation for 145 (mu,alpha):(0.1, 1.8) Algo:Area P:2048 n:800 
Completed computation for 146 (mu,alpha):(0.1, 1.8) Algo:Area P:512 n:800 
Completed computation for 147 (mu,alpha):(0.1, 1.8) Algo:Area P:512 n:800 
Completed computation for 148 (mu,alpha):(0.1, 1.8) Algo:Area P:1024 n:600 
Completed computation for 149 (mu,alpha):(0.1, 1.8) Algo:Area P:128 n:200 
Completed computation for 150 (mu,alpha):(0.1, 1.8) Algo:Area P:2048 n:600 
Completed computation for 151 (mu,alpha):(0.1, 1.8) Algo:Area P:8192 n:500 
Completed computation for 152 (mu,alpha):(0.1, 1.8) Algo:Area P:512 n:300 
Completed computation for 153 (mu,alpha):(0.1, 1.8) Algo:Area P:512 n:600 
Completed computation for 154 (mu,alpha):(0.1, 1.8) Algo:Area P:4096 n:300 
Completed computation for 155 (mu,alpha):(0.1, 1.8) Algo:Area P:2048 n:200 
Completed computation for 156 (mu,alpha):(0.1, 1.8) Algo:Area P:512 n:800 
Completed computation for 157 (mu,alpha):(0.1, 1.8) Algo:Area P:128 n:500 
Completed computation for 158 (mu,alpha):(0.1, 1.8) Algo:Area P:4096 n:600 
Completed computation for 159 (mu,alpha):(0.1, 1.8) Algo:Area P:8192 n:400 
Completed computation for 160 (mu,alpha):(0.1, 1.8) Algo:Area P:256 n:100 
Completed computation for 161 (mu,alpha):(0.1, 1.8) Algo:Area P:2048 n:1000 
Completed computation for 162 (mu,alpha):(0.1, 1.8) Algo:Area P:2048 n:500 
Completed computation for 163 (mu,alpha):(0.1, 1.8) Algo:Area P:2048 n:1000 
Completed computation for 164 (mu,alpha):(0.1, 1.8) Algo:Area P:1024 n:600 
Completed computation for 165 (mu,alpha):(0.1, 1.8) Algo:Area P:1024 n:800 
Completed computation for 166 (mu,alpha):(0.1, 1.8) Algo:Area P:128 n:200 
Completed computation for 167 (mu,alpha):(0.1, 1.8) Algo:Area P:512 n:100 
Completed computation for 168 (mu,alpha):(0.1, 1.8) Algo:Area P:4096 n:900 
Completed computation for 169 (mu,alpha):(0.1, 1.8) Algo:Area P:8192 n:900 
Completed computation for 170 (mu,alpha):(0.1, 1.8) Algo:Area P:8192 n:300 
Completed computation for 171 (mu,alpha):(0.1, 1.8) Algo:Area P:4096 n:1000 
Completed computation for 172 (mu,alpha):(0.1, 1.8) Algo:Area P:128 n:200 
Completed computation for 173 (mu,alpha):(0.1, 1.8) Algo:Area P:4096 n:200 
Completed computation for 174 (mu,alpha):(0.1, 1.8) Algo:Area P:8192 n:600 
Completed computation for 175 (mu,alpha):(0.1, 1.8) Algo:Area P:4096 n:800 
Completed computation for 176 (mu,alpha):(0.1, 1.8) Algo:Area P:2048 n:500 
Completed computation for 177 (mu,alpha):(0.1, 1.8) Algo:Area P:128 n:300 
Completed computation for 178 (mu,alpha):(0.1, 1.8) Algo:Area P:128 n:100 
Completed computation for 179 (mu,alpha):(0.1, 1.8) Algo:Area P:128 n:400 
Completed computation for 180 (mu,alpha):(0.1, 1.8) Algo:Area P:4096 n:1000 
Completed computation for 181 (mu,alpha):(0.1, 1.8) Algo:Area P:2048 n:800 
Completed computation for 182 (mu,alpha):(0.1, 1.8) Algo:Area P:2048 n:100 
Completed computation for 183 (mu,alpha):(0.1, 1.8) Algo:Area P:128 n:900 
Completed computation for 184 (mu,alpha):(0.1, 1.8) Algo:Area P:8192 n:700 
Completed computation for 185 (mu,alpha):(0.1, 1.8) Algo:Area P:1024 n:700 
Completed computation for 186 (mu,alpha):(0.1, 1.8) Algo:Area P:512 n:700 
Completed computation for 187 (mu,alpha):(0.1, 1.8) Algo:Area P:8192 n:1000 
Completed computation for 188 (mu,alpha):(0.1, 1.8) Algo:Area P:8192 n:1000 
Completed computation for 189 (mu,alpha):(0.1, 1.8) Algo:Area P:1024 n:100 
Completed computation for 190 (mu,alpha):(0.1, 1.8) Algo:Area P:8192 n:1000 
Completed computation for 191 (mu,alpha):(0.1, 1.8) Algo:Area P:4096 n:900 
Completed computation for 192 (mu,alpha):(0.1, 1.8) Algo:Area P:8192 n:600 
Completed computation for 193 (mu,alpha):(0.1, 1.8) Algo:Area P:8192 n:1000 
Completed computation for 194 (mu,alpha):(0.1, 1.8) Algo:Area P:2048 n:100 
Completed computation for 195 (mu,alpha):(0.1, 1.8) Algo:Area P:512 n:800 
Completed computation for 196 (mu,alpha):(0.1, 1.8) Algo:Area P:2048 n:200 
Completed computation for 197 (mu,alpha):(0.1, 1.8) Algo:Area P:2048 n:600 
Completed computation for 198 (mu,alpha):(0.1, 1.8) Algo:Area P:1024 n:100 
Completed computation for 199 (mu,alpha):(0.1, 1.8) Algo:Area P:256 n:700 
Completed computation for 200 (mu,alpha):(0.1, 1.8) Algo:Area P:128 n:1000 
Completed computation for 201 (mu,alpha):(0.1, 1.8) Algo:Area P:1024 n:800 
Completed computation for 202 (mu,alpha):(0.1, 1.8) Algo:Area P:1024 n:800 
Completed computation for 203 (mu,alpha):(0.1, 1.8) Algo:Area P:1024 n:1000 
Completed computation for 204 (mu,alpha):(0.1, 1.8) Algo:Area P:8192 n:600 
Completed computation for 205 (mu,alpha):(0.1, 1.8) Algo:Area P:4096 n:200 
Completed computation for 206 (mu,alpha):(0.1, 1.8) Algo:Area P:1024 n:700 
Completed computation for 207 (mu,alpha):(0.1, 1.8) Algo:Area P:8192 n:800 
Completed computation for 208 (mu,alpha):(0.1, 1.8) Algo:Area P:128 n:1000 
Completed computation for 209 (mu,alpha):(0.1, 1.8) Algo:Area P:2048 n:1000 
Completed computation for 210 (mu,alpha):(0.1, 1.8) Algo:Area P:1024 n:1000 
Completed computation for 211 (mu,alpha):(0.1, 1.8) Algo:Area P:2048 n:900 
Completed computation for 212 (mu,alpha):(0.1, 1.8) Algo:Area P:512 n:600 
Completed computation for 213 (mu,alpha):(0.1, 1.8) Algo:Area P:1024 n:700 
Completed computation for 214 (mu,alpha):(0.1, 1.8) Algo:Area P:1024 n:100 
Completed computation for 215 (mu,alpha):(0.1, 1.8) Algo:Area P:4096 n:100 
Completed computation for 216 (mu,alpha):(0.1, 1.8) Algo:Area P:128 n:700 
Completed computation for 217 (mu,alpha):(0.1, 1.8) Algo:Area P:128 n:300 
Completed computation for 218 (mu,alpha):(0.1, 1.8) Algo:Area P:2048 n:1000 
Completed computation for 219 (mu,alpha):(0.1, 1.8) Algo:Area P:256 n:500 
Completed computation for 220 (mu,alpha):(0.1, 1.8) Algo:Area P:128 n:500 
Completed computation for 221 (mu,alpha):(0.1, 1.8) Algo:Area P:2048 n:400 
Completed computation for 222 (mu,alpha):(0.1, 1.8) Algo:Area P:128 n:900 
Completed computation for 223 (mu,alpha):(0.1, 1.8) Algo:Area P:128 n:300 
Completed computation for 224 (mu,alpha):(0.1, 1.8) Algo:Area P:4096 n:200 
Completed computation for 225 (mu,alpha):(0.1, 1.8) Algo:Area P:128 n:500 
Completed computation for 226 (mu,alpha):(0.1, 1.8) Algo:Area P:256 n:200 
Completed computation for 227 (mu,alpha):(0.1, 1.8) Algo:Area P:1024 n:300 
Completed computation for 228 (mu,alpha):(0.1, 1.8) Algo:Area P:2048 n:200 
Completed computation for 229 (mu,alpha):(0.1, 1.8) Algo:Area P:4096 n:500 
Completed computation for 230 (mu,alpha):(0.1, 1.8) Algo:Area P:8192 n:100 
