regular,Paper,Min Time,Time opt
0.8,3626801,10235725,2904570.9453192647
0.8,3230184,8988649,2597003.2832329622
0.8,3681487,10168916,3148047.3876058403
0.8,3857793,9611635,3113678.114140093
0.8,3507565,9439614,2870918.450599084
0.8,4191622,10763977,3588347.596183344
0.8,4018715,11041016,3373404.457322184
0.8,3489027,9387986,2533464.199945791
0.8,4137104,11534488,3470218.6145543624
0.8,3429213,8979934,2924631.197385945
0.8,4161956,10361387,3690711.1791638527
0.8,4095628,11919939,3254505.6327323276
0.8,3457205,9230930,2882963.407099182
0.8,3543414,9161463,3014326.6366835493
0.8,3440810,9371202,2928421.786146919
0.8,3759824,10320805,3243415.2686755005
0.8,3991852,10917568,3332635.634054551
0.8,3770159,10925801,3020326.7370378217
0.8,3574155,8714170,2893315.2887638863
0.9,3094719,8732862,2423252.4360276116
0.9,3413056,9308307,2627890.562073393
0.9,3302226,8887051,2749058.677749506
0.9,4474676,10542539,3825296.0572469826
0.9,3326425,9383096,2648079.6858620965
0.9,3515260,8332544,3056366.7356639598
0.9,3319758,9560579,2750709.7119472935
0.9,3783894,10477204,3269910.824435236
0.9,3491581,9458910,2867114.0575945233
0.9,3749988,10706024,3095139.1836028076
0.9,3804087,11222302,2925505.660238542
0.9,3621399,10235725,2974966.189250465
0.9,3528847,8988649,2871112.7695724587
0.9,3419411,10168916,2802846.491896972
0.9,3449799,9611635,2876015.3404968795
0.9,3430875,9439614,2734919.20048954
0.9,3977476,10763977,3350899.014799716
0.9,4136872,11041016,3607569.3107403475
0.9,3346728,9387986,2619760.2628775025
0.9,3891540,11534488,3239785.3735256647
0.9,3355375,8979934,2804836.99146123
0.9,3718720,10361387,2907730.158717468
0.9,4412028,11919939,3768275.3740485087
0.9,3572885,9230930,3010183.025412304
0.9,3148951,9161463,2509092.788469675
0.9,3202134,9371202,2480568.4463223205
0.9,3817798,10320805,3307776.2341955635
0.9,3803427,10917568,3120977.693669055
0.9,3766263,10925801,2827706.937328981
0.9,3528867,8714170,2927426.1693852604
1,3062000,8732862,2301281.216246381
1,3418052,9308307,2818364.823578443
1,3457279,8887051,2909203.768741566
1,3690583,10542539,3168282.7045895755
1,3418553,9383096,2814317.3878980223
1,3414136,8332544,2976921.177978042
1,3414063,9560579,2962592.0061939545
1,3722472,10477204,3100223.8197716787
1,3590660,9458910,3032438.445133623
1,3953580,10706024,3345602.640049218
1,3814348,11222302,3199589.942053689
1,3904763,10235725,3356513.0963963605
1,3489300,8988649,2770433.773503349
1,3736564,10168916,3273163.6458697096
1,3439866,9611635,2752384.101106062
1,3699445,9439614,3134992.987828185
1,3679596,10763977,2933410.724339885
1,4310002,11041016,3648992.112993077
1,3610580,9387986,3048170.259652628
1,3879139,11534488,3140422.8863875256
1,3226137,8979934,2692629.890206516
1,3473692,10361387,2763542.1293411264
1,4094123,11919939,3473767.037813466
1,3123547,9230930,2639331.7267521117
1,3481489,9161463,2887422.835366492
1,3432677,9371202,2627532.450353206
1,3776383,10320805,3134183.112880388
1,3641630,10917568,3041496.133776436
1,3965028,10925801,3112377.2123153526
1,3390851,8714170,2685785.292675037
