P,n,File_number,regular,fat,jump,density,Paper,Time opt,Makespan,Model
116,1024,1000,78,0.762017,0.149154,8.0,0.55725,561913.0014715242,187217.6267117945,3.001389406225842,Amdahl
117,1024,700,79,0.711499,0.498632,4.0,0.505429,306495.81804440974,94033.66514521289,3.2594264784968128,Amdahl
118,8192,300,75,0.870783,0.549104,10.0,0.865733,122163.6619960932,35600.683290488334,3.431497676583428,Amdahl
119,512,800,17,0.567406,0.24067,1.0,0.65081,1175110.2078709605,424034.844292651,2.771258597465516,Amdahl
120,1024,900,14,0.188686,0.265268,1.0,0.276621,648160.6343608706,234301.51029093674,2.7663527800398593,Amdahl
121,512,1000,61,0.379896,0.567787,9.0,0.575405,254102.18793541103,79826.99214545792,3.183161247919689,Amdahl
122,2048,100,90,0.561706,0.345543,3.0,0.548995,84804.83641575323,20983.91624902118,4.041420839149082,Amdahl
123,2048,800,90,0.793372,0.180407,6.0,0.499656,382560.49853994354,126412.02788034106,3.0262982483127887,Amdahl
124,4096,100,56,0.381611,0.365799,10.0,0.375934,96133.15794815497,36036.34906871876,2.6676719599101415,Amdahl
125,1024,1000,96,0.704403,0.884561,3.0,0.807186,111312.05939073763,43448.26488987841,2.561944871052114,Amdahl
126,1024,400,13,0.174513,0.248114,5.0,0.256869,167558.88891138748,55601.441430786275,3.013570954270456,Amdahl
127,128,1000,83,0.323485,0.107092,7.0,0.804113,662758.6328164317,142544.75921454196,4.649477374464,Amdahl
128,4096,1000,14,0.709532,0.496691,10.0,0.700086,290705.5250005155,85018.61239680779,3.4193162744612224,Amdahl
129,4096,200,38,0.479715,0.864142,7.0,0.473108,70900.537788152,26089.527815561145,2.7175860862404435,Amdahl
130,8192,900,5,0.247729,0.836127,5.0,0.441715,139963.44761100074,49864.47393433757,2.8068770522939257,Amdahl
131,8192,800,2,0.863552,0.250801,2.0,0.6604,897198.4088697352,319727.10487877135,2.806138094578874,Amdahl
132,1024,1000,64,0.4402,0.620379,8.0,0.519293,166554.28752257457,55285.457545412595,3.0126238420974176,Amdahl
133,1024,400,78,0.102245,0.689565,9.0,0.607296,89094.39488091665,31876.115634303897,2.795020444242477,Amdahl
134,8192,800,15,0.215799,0.686416,5.0,0.298573,197845.14159543085,62137.90128877687,3.1839688417536713,Amdahl
135,8192,700,71,0.336017,0.524537,2.0,0.841195,499216.6098467394,178931.48669707996,2.789987492206347,Amdahl
136,128,700,20,0.702088,0.779851,3.0,0.388685,189374.55700157504,88800.76117016196,2.132578082733901,Amdahl
