n,Paper,Min Time,Time opt
900,1941643.2104485556,2158472.1312402557,1209448.2505834908
1000,2096467.3083331322,2327376.572510571,1288364.8317448634
100,223372.96569501414,231471.1811245716,139216.24898405053
200,454466.4103377025,484429.35748079716,237157.78073003114
300,659834.8427237946,734618.9484272666,403543.909616375
400,884672.1187684821,980079.7243226526,553653.6355748439
500,1068660.867152946,1183752.9460089686,661964.7892956203
600,1301857.362592492,1441427.7940470115,836160.2278643675
700,1582139.9616745736,1729402.001478444,959851.1308079761
800,1696313.36582386,1829587.155584703,1047142.9112615727
900,1853946.3199613446,2060607.8859958083,1188122.4972721045
1000,2109538.479183221,2467321.902013424,1345050.931590255
100,226735.7704707136,252983.6704136315,122985.20677022553
200,426475.1794543712,457818.3574878585,257738.67159940107
300,609935.4613876741,674931.0941187193,364298.3991424273
400,873686.1838092908,989731.6920834499,546790.4404012962
500,1018337.1520537346,1143600.3329733955,656762.2775112868
600,1318600.8549731043,1417647.9514402512,820028.8905563497
700,1503455.9795418554,1598579.7710073183,955617.3377585586
800,1692350.418205392,1922147.2004327087,1071430.2907001453
900,1841956.903449362,2093178.4080734032,1177489.4069455904
1000,2176558.2254500496,2363264.9505309328,1343466.4580755432
100,245579.4911929796,276694.67489331024,135781.11966650275
200,426888.82163065515,446232.8691657886,263257.1795394107
300,634420.9459904743,717341.1669125599,399116.60072818206
400,817713.929049647,920867.473952848,509609.10896063247
500,1142338.8752647608,1224966.281376449,688682.2888688851
600,1309096.036407638,1465664.4964619724,808502.4861934956
700,1534407.0426930757,1694203.1513294328,966040.5296124725
800,1708651.735989621,1960485.3113099632,1067060.6678171605
900,1881480.4333283522,2074974.9066718484,1200847.5092545433
1000,2078075.0441895057,2427803.015109174,1339717.995657805
100,220600.9368171197,245161.44832233855,132581.7427352931
200,490423.1883887612,544124.267759131,288877.90892573434
300,628394.7688759287,700674.6800365506,404388.45227704063
400,843100.9321579391,960993.6672946796,517064.3624457273
500,1075462.9263171845,1175399.8069898442,682390.0572946991
600,1263459.7326352596,1432269.5293179087,796312.8104777542
700,1379242.2675612357,1563818.6872825343,876167.0650217815
800,1697010.3157507037,1949331.6451788673,1092905.3723919664
900,1769589.4711111828,1999755.7382124818,1168647.4069514158
1000,2135349.731862467,2348144.8562591625,1356494.7857752524
100,236763.44261888688,241611.73721898688,125794.21532877443
200,425303.3253262967,477262.47675668047,267405.4854193728
300,641071.1348891656,711249.0194664389,402995.5194350668
400,884296.5883679589,971375.6790516862,532847.8587000904
500,1078226.5226725184,1179636.766795149,654466.7297662625
600,1295801.102443048,1418938.4996604861,808420.1890592348
700,1423541.3417755023,1572518.1863279433,903614.0357209735
800,1676597.0168229106,1857551.932083891,1063718.9347667655
900,1890376.645099603,2097887.1475183372,1187157.4681880812
1000,2237819.2521921415,2488483.1715962794,1374274.0153844566
100,259429.31746573676,301459.3934251233,142190.2083890204
200,448630.48416509083,516061.35822045204,283602.64182854834
300,680147.9994181241,726837.9173914474,412493.9045690554
400,870138.7206375457,977292.9640179067,556611.7305140332
500,1130814.893655089,1297801.5458034433,671096.4806446494
600,1204589.0657952272,1367179.6153858032,776751.4217715072
700,1462701.1232941751,1618404.3280737642,917314.7013988987
800,1671729.165681907,1855109.568467183,1077384.1556501235
900,1893768.0429953095,2112870.4863083647,1213628.0838431732
1000,2000594.247679123,2175824.3339437232,1275221.562436
100,220363.1066635119,229078.1214828047,142549.70110937813
200,426330.9245568691,474185.15411653236,270774.123515135
300,627492.6733794096,694721.0045846169,401747.0786985618
400,837860.2836991289,915680.4771154627,522953.2546570525
500,1126611.3542006037,1213883.9332676434,687970.0183323394
600,1293281.4090055784,1428991.8670367715,805609.6561457237
700,1562536.2965609278,1769449.7377788997,952098.0645090494
800,1725289.0743010284,1944682.448431244,1087661.706458279
900,1908198.3636805448,2125620.6950400625,1204867.040722314
1000,2076685.1140395948,2250752.465691758,1329869.030549293
100,189521.46637803855,221881.29353681768,122608.67227272641
200,472966.612727488,547309.1172998269,264590.62726792484
300,668055.097124113,749174.7002477275,412905.8392530478
400,892597.7527936038,1015916.8251758704,531741.6763878869
500,1106573.5496881166,1236296.8074338676,689582.8436450296
600,1335310.8389541914,1398160.9385546476,812934.1981051345
700,1530217.9417253102,1717982.4109523927,962259.0270756073
800,1750585.2576377892,1931269.19439665,1071031.2846706074
900,1982075.3877364334,2240674.9721886883,1234874.3679287275
1000,2102889.987191588,2304380.279670366,1346565.8667362186
100,226759.93030591923,252666.8185059708,124600.68269017134
200,428893.2658361301,463842.6246951706,261282.44933718996
300,650060.5954500366,720332.1064730837,397237.5753497611
400,851253.5061205112,950105.6063183964,531653.0735021433
500,984985.3713854394,1146610.0612147765,648488.121548061
600,1335978.5450652975,1419764.2184751509,803712.7474697037
700,1446866.4693471075,1658002.1574972228,920482.1256792768
800,1731124.609770243,1910023.1288797793,1071318.7275722919
900,1974999.901047392,2142071.735447919,1187899.9387112581
1000,2037640.4163405073,2275360.593501536,1311867.5021275817
100,261461.94332768407,270372.1630704724,140413.0188563519
200,407508.9383326161,495745.41750525194,263109.9258519444
300,712261.0154153567,746296.8206697921,401841.63106643956
400,832496.9700285917,947426.9237698324,516510.77229126176
500,1047751.6307541574,1188562.0798379653,654294.5919532479
600,1366443.96882557,1484624.6988572548,812770.7725146087
700,1564913.2029222532,1690221.8236475764,964496.9713749611
800,1659882.5855808482,1825391.0970890203,1051823.6173123983
900,1957301.116530652,2147391.4341898668,1228371.9667929823
1000,2162766.7752653044,2489544.681177209,1339006.4369208629
100,262862.6728316253,278515.1506976272,135375.08957291907
200,445882.6884156073,483810.1979376415,274813.9423614642
300,640210.5878056183,703992.20447242,393180.9945472676
400,847553.6109750638,950675.8416048107,542005.7087216737
500,1072400.534733683,1186599.2032234606,680485.7969386008
600,1299287.551420321,1449615.703724253,817402.4254636238
700,1484431.1859861563,1646280.6706651307,918571.5806574951
800,1715457.8941154857,1942967.1523050794,1073446.9856813457
900,1880071.6169593649,2087400.3076328267,1169364.695819505
1000,2120931.386721251,2324653.2896801503,1330634.3214678
100,238727.81655410293,256629.71379090843,149841.9563480062
200,434262.73913445126,485321.5037169677,278949.08213949157
300,627090.8032388664,723501.4248609694,399194.04196501645
400,817067.7915902169,913597.716728394,515939.2528369329
500,1031811.063145221,1198058.0899224929,648589.7717613281
600,1334568.9781237792,1480031.9941906475,795008.9232234216
700,1529744.2981768572,1671605.9131170982,953180.2511896485
800,1715836.455846073,1946482.2753071317,1070288.5362974494
900,1884752.60929383,2116956.9964483515,1219329.7200202122
1000,2130157.456101758,2435999.33763868,1350750.6727051092
100,244843.5006454953,263530.972289467,136680.33301284513
200,456533.728832795,486940.56434400193,263982.3323144644
300,653004.696902476,689565.0231490158,405753.17149377166
400,903872.3167717025,934533.2220570241,560665.6589853886
500,1101726.437346047,1272022.8494538644,677634.3557375467
600,1341565.906965059,1420661.918656057,783450.286613888
700,1455317.1160862686,1637879.4355964332,915997.7597530901
800,1692349.2542910252,1863160.9572006187,1061092.4788395825
900,1922301.862739913,2088229.4488161583,1191943.682809024
1000,2161865.4043041426,2450525.483957008,1331115.2519224344
100,203652.90578517527,225379.24810687747,135608.3618795841
200,469531.32030599803,524296.7642199964,270992.1027365967
300,656070.1959343817,708225.4740024552,376299.9467203983
400,777632.0159420392,850077.4666002926,508992.6744742002
500,1070534.1817694441,1184307.909629301,676626.2869371668
600,1246670.4843239232,1434009.210463589,789301.1288152707
700,1459142.043442982,1648556.97833971,910663.1546726511
800,1588134.6441537435,1731614.9473014723,1022768.9577357577
900,1896257.2801498023,2155665.2793867355,1166630.9233936693
1000,2140956.2699724985,2417951.958791594,1350344.7676056535
100,227066.87067534882,235767.43229837698,135402.73148579235
200,472920.8409450454,523071.85677939357,273481.6001993272
300,677338.8838369948,707083.6022498131,406097.32437203487
400,817087.8861157596,914884.4652017058,518732.45949364663
500,1138364.09582722,1230831.6946828635,705589.6442948779
600,1255782.14563555,1452609.4594226072,795627.13782901
700,1515169.4795048889,1708411.4253790006,929240.394398035
800,1663627.9525864031,1880139.8530133464,1066630.8316967087
900,1879519.2521638665,2169175.4845824097,1214520.1357817978
1000,2137053.40643587,2352979.7361523923,1337775.0392033234
100,217210.73251801098,262835.2107275782,126422.40912835072
200,426420.86460403557,494704.10212010035,272375.16285953496
300,677161.4014121447,773665.3601863219,399202.49719417165
400,907415.0338940611,971562.2934885334,539338.0941273529
500,1051415.0440182604,1230639.6407105871,664367.3074321809
600,1333681.0267106544,1508710.975795475,780616.4584756646
700,1539607.9971894927,1682156.0785177934,959176.514941437
800,1728467.2949861693,1901994.0476578714,1101179.7751624305
900,1905137.0929806912,2175260.1152434447,1231401.6208396705
1000,2073205.8196528438,2296214.969935433,1309844.7882195269
100,194178.46287903498,229753.67245162904,124673.4119032333
200,426275.89365194924,484744.66507249,257861.99761408003
300,706188.4717884611,802646.4614386074,403637.494590517
400,834380.2565843338,963935.5092687361,521659.47679301776
500,1030725.7608943173,1114987.3241832484,640321.1544213261
600,1317871.965159639,1426980.2335620753,819494.3616406233
700,1461895.036210145,1613504.8197784696,922844.6474307509
800,1674128.255006782,1846815.1752695534,1067319.9061084548
900,1880729.9765361345,2152955.1141382707,1197349.7127749596
1000,2087781.2171731314,2296547.5270483545,1329891.5571077506
100,204803.4465303846,221459.9254483267,135828.5981887774
200,402293.99198752275,450357.3411795658,264572.14440747426
300,675417.7173211473,743105.1406893132,373337.2099530939
400,884060.2371098172,972883.1260442866,545269.6689205747
500,1099770.1863253275,1250682.8956989497,690309.5775551525
600,1220766.6076450958,1341710.7745076513,775569.5959607263
700,1509035.1064278597,1681208.2998538965,929418.5854778707
800,1754235.037434581,1905886.5825028366,1090310.736080273
900,1867677.9052918206,1997889.915067542,1183905.3254310295
1000,2023041.1344211001,2262452.0483532865,1300481.507184265
100,209341.66000959493,225286.43911567944,121590.68196170754
200,488378.97354855284,494745.29794419813,282243.2693626978
300,650624.3617680846,714562.9734748787,402635.06164249347
400,920979.5155451734,1013863.7630273455,542454.9087666986
500,1049163.1593444943,1183290.3427650963,685091.4786078577
600,1294040.4616774663,1437088.2028410793,795415.2912058277
700,1463878.1384665628,1673408.5770981351,922314.2408378582
800,1595357.8292096783,1808448.4233866415,1042139.9519943281
900,1895058.54650067,2146557.444132871,1173721.087771852
1000,2119769.822953212,2340924.8802980394,1303723.9445580756
100,236649.71339538987,241301.06481324986,141670.57981288544
200,428994.08577683853,448361.16603733803,255261.79414054437
300,701044.5309913313,792575.6107458243,396341.7310569137
400,868134.4400525128,953756.8512563225,531238.655192099
500,1050851.8518155606,1150193.0349181236,630416.2504328134
600,1250118.8610513576,1362284.3084363653,796578.007370224
700,1501711.5054190427,1667546.573116731,940581.0458686982
800,1737239.9033649722,1874170.619927431,1075497.5297089054
900,1788826.2556409433,2052665.6478243412,1179536.310647514
1000,2106347.1957940045,2323190.1034938847,1327816.3561883953
100,220653.47766639013,241062.62483427912,129085.70287477931
200,447061.2978173348,488452.91225670656,266518.0342756463
300,609868.5783390385,706647.1204303316,374890.467231937
400,881915.0898540363,994909.7365554892,532361.1431018556
500,1091905.8725247504,1220213.6538230055,662514.2726409236
600,1244969.284873986,1347832.5966450283,786065.3432826144
700,1488574.4996035378,1656467.0534189506,938947.1079713951
800,1611630.745969711,1845289.478683545,1029813.3220236036
900,1900472.556648524,2048744.0426706136,1183574.4365643885
1000,2052632.044371253,2332982.329414578,1303891.2091959224
100,202095.1727406373,199510.29159454838,113708.41699140776
200,436770.0276595269,487705.3435013128,270413.4457172737
300,692712.843420457,747594.3608119836,396929.5574193868
400,898759.863352353,1031330.091735677,541918.6514363396
500,1083206.0101925465,1243789.6724409412,668549.9223011032
600,1177822.406729258,1354819.4222017566,754568.9491158618
700,1426248.3844091329,1594643.129410279,907597.3785325742
800,1734322.332307884,1921038.3376184693,1099220.2149824174
900,1860713.0045117603,2088673.5077333378,1175383.6961033884
1000,2090545.864953602,2377083.1480644876,1320667.543844476
100,220869.31417731626,242597.46963849803,132960.5319370927
200,460526.6205245541,510241.1871974181,289847.618778674
300,662355.6894795599,723032.3995318151,404378.77367697563
400,849106.4416123468,910927.6693787525,509667.38094470627
500,1095299.9345394871,1243024.713742487,680045.171947364
600,1262488.567787614,1405131.5135321128,803615.7420597413
700,1504658.788437037,1655181.0852825998,955116.6367935351
800,1650078.9370319638,1794443.7060192951,1040611.9848032582
900,1960300.311718057,2205912.4447840727,1227437.611486738
1000,2072358.4534213017,2337458.3906227653,1297760.8042089879
100,242341.1735528464,262416.295330237,132591.25681814013
200,444220.41370277153,507412.790757027,273079.59710131696
300,629088.1648736396,719704.1557071228,409444.00129297294
400,883462.4078835759,997413.9924740065,524531.6293303528
500,1144927.4012018817,1199601.911249574,693006.6378143007
600,1297384.6223060773,1483001.0899057847,804212.2465327708
700,1432629.6857220843,1605723.4537895715,897605.8991068801
800,1734780.4452692647,1890820.3911286688,1101940.7069490715
900,1956219.543300012,2172045.3110135803,1210160.8525718458
1000,2079436.625207343,2288758.161624958,1336410.2494520256
100,258853.58396588112,270989.6391182486,144857.96508224905
200,410602.8599961127,459368.74110920803,258264.91204062247
300,661413.0635300454,733595.7755816593,387085.8751111299
400,827210.235882124,914918.983665131,521199.5896012999
500,1111972.088645336,1245878.0452752516,669101.0108577217
600,1246962.5039521006,1404905.7656702998,787483.0078478538
700,1444182.5447987982,1640398.7881891928,910544.2713318784
800,1692621.7008478919,1816618.3021892419,1053341.7285412038
900,1992370.8229078038,2162776.3346747886,1198658.4220156858
1000,2149877.222220027,2351659.0216262112,1361457.1483316182
100,218101.53795940045,267866.9648196958,140453.77163547033
200,471587.51270632254,489768.2140913286,271979.7625308973
300,668013.6394300258,742652.1188102922,411781.91896002815
400,864308.3742730464,908745.8797265303,523774.747834728
500,1081350.83648138,1201896.8854849986,708632.3638445716
600,1233916.8252048464,1410679.7977686338,794709.0596499273
700,1453964.9991600404,1607431.391995328,930936.6447196625
800,1697603.1404858492,1886936.090339663,1101462.2941433033
900,1868568.5959705876,2094408.6071938241,1209528.4109030017
1000,2089053.8951898664,2374216.5695401435,1333824.6228583218
