p,Paper,Min Time,Time opt
2000,581811,586932,480239.4573534651
2000,633819,650405,517730.7886152984
2000,621305,642363,513817.2071350816
2000,571802,618295,472810.8080815826
2000,616804,678419,496884.29884254903
2000,615532,666120,501410.96710339875
2000,615709,695906,510032.4176481905
2000,617495,669850,519753.58613664866
2000,597209,650969,501824.41572071955
2000,633856,677061,531472.9293527184
2500,489346,570600,408596.74544513266
2500,488975,561106,399401.01361672085
2500,464480,521902,390783.2290024846
2500,490073,605787,417110.26140122476
2500,474633,529502,397177.77371506253
2500,468954,518749,394056.2697056109
2500,484132,554785,413208.28565323184
2500,494086,559017,409432.94275099377
2500,469935,572975,392678.8698163129
2500,471336,620764,402656.77519777167
2500,494077,566623,412780.9195049931
2500,493055,580232,413748.5858751601
2500,459101,478494,389091.72534954036
2500,472673,556100,392575.68762193614
2500,477560,542159,408290.3498422575
2500,462558,551260,389152.6981387941
2500,475549,588100,406579.4936141502
2500,485923,509820,405974.6656278416
2500,491854,565886,423352.6861937253
2500,471241,537345,398619.22223577776
2500,456988,483992,384191.5658827721
2500,492264,530158,414184.6308922387
2500,486004,530551,411053.76570806524
2500,443745,530839,378248.64646526607
2500,489457,588794,397507.4390740392
2500,492236,552724,401128.773682719
2500,485261,596680,408025.9341185524
2500,496014,546176,415802.86890931893
2500,467275,554719,401459.53257657564
2500,502148,548503,425178.34348217474
3000,403016,492734,340497.2878709439
3000,392423,478070,332834.17801393406
3000,383704,451372,325652.6908354038
3000,407839,518764,347591.88450102066
3000,403604,470770,330981.4780958854
3000,387793,467109,328380.22475467576
3000,400420,486934,344340.2380443599
3000,418270,492281,341194.11895916145
3000,399586,504914,327232.39151359414
3000,397831,542859,335547.31266480975
3000,409013,478067,343984.0995874942
3000,403830,532576,344790.4882293001
3000,375815,404946,324243.10445795034
3000,398224,483734,327146.40635161346
3000,397903,461060,340241.95820188127
3000,387895,474093,324293.91511566174
3000,394840,496040,338816.24467845855
3000,398535,444195,338312.2213565347
3000,409599,467490,352793.9051614378
3000,386126,482248,332182.68519648147
3000,376177,439856,320159.6382356434
3000,407197,465634,345153.8590768656
3000,401650,438303,342544.8047567211
3000,371836,444913,315207.2053877217
3000,414938,513027,331256.199228366
3000,398651,474313,334273.9780689325
3000,405405,526061,340021.61176546034
3000,401042,488444,346502.3907577658
3000,385240,516436,334549.6104804797
3000,413119,492614,354315.2862351456
3500,355874,428060,291854.8181750948
3500,334698,419882,285286.43829765776
3500,329808,416273,279130.8778589175
3500,354927,446739,297935.9010008748
3500,345592,413171,283698.4097964732
3500,329335,384883,281468.76407543634
3500,339853,429063,295148.7754665942
3500,359139,412687,292452.10196499556
3500,348320,431997,280484.9070116521
3500,363676,486213,287611.9822841226
3500,346507,422995,294843.5139321379
3500,348064,442068,295534.70419654297
3500,320112,353584,277922.66096395743
3500,349567,418797,280411.20544424007
3500,345295,390219,291635.96417304105
3500,337401,431702,277966.2129562815
3500,341650,453025,290413.9240101073
3500,341971,389674,289981.90401988686
3500,351261,436350,302394.77585266094
3500,336637,447995,284728.0158826984
3500,318137,359025,274422.5470591229
3500,343923,408717,295846.1649230276
3500,335063,396413,293609.83264861803
3500,323859,385400,270177.6046180472
3500,359709,449648,283933.88505288516
3500,349119,433394,286520.55263051356
3500,359458,451563,291447.095798966
3500,347348,430995,297002.0492209421
3500,335085,434057,286756.80898326833
3500,354012,403523,303698.81677298195
4000,321399,382920,255372.96590320792
4000,299475,345173,249625.63351045054
4000,291939,349100,244239.51812655284
4000,330405,401826,260693.91337576546
4000,304505,382025,248236.10857191408
4000,286746,322464,246285.16856600682
4000,295905,374130,258255.1785332699
4000,313300,344132,255895.58921937112
4000,308782,379459,245424.2936351956
4000,337702,379540,277146.0662574373
4000,309469,382379,257988.07469062065
4000,317049,352488,258592.86617197507
4000,275976,314164,243182.32834346272
4000,311434,356595,245359.80476371007
4000,305718,361338,255181.46865141095
4000,303252,340221,243220.4363367463
4000,306176,346143,254112.1835088439
4000,295008,339289,253734.166017401
4000,308122,357862,264595.42887107836
4000,308802,358582,249137.0138973611
4000,278940,317877,240119.72867673254
4000,298763,339241,258865.3943076492
4000,290263,349876,256908.6035675408
4000,278988,353290,236405.4040407913
4000,329251,393189,248442.14942127452
4000,307220,360152,250705.48355169938
4000,334483,383808,255016.20882409526
4000,305517,355391,259876.79306832433
4000,304348,345788,250912.20786035978
4000,311265,350360,265736.4646763592
4500,301545,314926,226998.1919139626
4500,276991,285329,221889.45200928938
4500,265096,284762,217101.7938902692
4500,303754,325665,245442.5501918573
4500,277832,292160,220654.31873059028
4500,258674,272513,218920.1498364505
4500,273303,293141,229560.15869623993
4500,283736,294306,227462.7459727743
4500,293197,295206,218154.9276757294
4500,324343,326736,277146.0662574373
4500,275880,290859,229322.73305832947
4500,290265,298292,229860.32548620008
4500,244039,263103,216162.06963863355
4500,285338,300320,218097.60423440897
4500,276057,297517,226827.9721345875
4500,275674,296343,216195.94341044116
4500,291647,302330,227307.20619920548
