density,Paper,Min Time,Time opt
0.4,3634686,10168916,2867303.247092537
0.4,3628138,9611635,3096139.3621956757
0.4,3211019,9439614,2665707.4577393783
0.4,3979470,10763977,3246555.635967587
0.4,4082621,11041016,3347098.5486599524
0.4,3194336,9387986,2462938.2292032083
0.4,3995994,11534488,3245659.6123270746
0.4,3285865,8979934,2540582.133323065
0.4,3461864,10361387,2752108.6623454136
0.4,3850774,11919939,2729232.902329493
0.4,3466579,9230930,2935729.245398363
0.4,3617109,9161463,3028944.1220023977
0.4,3238816,9371202,2268281.581100258
0.4,3709401,10320805,3064281.8067589104
0.4,3746822,10917568,3123468.5749179916
0.4,3870899,10925801,3185059.298106219
0.4,3446337,8714170,2838650.3354336377
0.5,3081219,8732862,2373416.6947458466
0.5,3417145,9308307,2677114.741194604
0.5,3253389,8887051,2529867.2056780555
0.5,3944785,10542539,3199005.1734100496
0.5,3375809,9383096,2745910.261763125
0.5,3518210,8332544,3190677.150493598
0.5,3461162,9560579,2833764.46908562
0.5,3682279,10477204,2922235.284848058
0.5,3540006,9458910,3031695.308714151
0.5,4140608,10706024,3544451.0550393066
0.5,3936376,11222302,3159321.167495155
0.5,3906765,10235725,3322486.5945965904
0.5,3259856,8988649,2552841.208066106
0.5,3378420,10168916,2713105.5553486133
0.5,3391704,9611635,2675808.0777679565
0.5,3577968,9439614,3068419.871064995
0.5,4056304,10763977,3286372.1941025797
0.5,3916732,11041016,3272695.193253883
0.5,3341013,9387986,2537360.217357279
0.5,4007508,11534488,3439541.3360892716
0.5,3185808,8979934,2834484.4202065407
0.5,3796446,10361387,3112925.308203569
0.5,4206577,11919939,3305761.980390393
0.5,3506703,9230930,2918795.0476303967
0.5,3786850,9161463,3174715.646767389
0.5,3248441,9371202,2644442.396284743
0.5,3463813,10320805,2917112.3638509875
0.5,4038064,10917568,3468563.010382176
0.5,3725787,10925801,3090620.4972592103
0.5,3265408,8714170,2664800.421235007
0.6,2893007,8732862,2239353.0448254882
0.6,3420719,9308307,2843561.670317962
0.6,3673857,8887051,3017848.998318323
0.6,4262586,10542539,3755964.7333582807
0.6,3617793,9383096,3103479.5030273716
