mu,alpha,average,max
0.22,3.3,1.6403187245549233,2.884441120669526
0.22,3.5,1.6253053999347502,2.993657814869666
0.22,3.7,1.6145539657100065,3.062481376806934
0.22,3.9,1.6101542820412618,3.096455191657862
0.24,2.5,1.7686321799439662,3.0613437576753584
0.24,2.7,1.7235864940148302,2.942290795977819
0.24,2.9,1.6899469742853102,2.876867194407371
0.24,3.1,1.6639008625030338,2.886651841652052
0.24,3.3,1.6474555472397459,2.938786769890663
0.24,3.5,1.633241949299232,3.0950746685711947
0.24,3.7,1.6210075266356851,3.1241869882312394
0.24,3.9,1.615585495280291,3.3498186673430266
0.26,2.5,1.773539265922277,3.061042204298723
0.26,2.7,1.729939288366794,2.941980379807416
0.26,2.9,1.6997312443323203,2.8765404130170524
0.26,3.1,1.6745695433711567,2.9857057395183464
0.26,3.3,1.6561221397413293,3.0169145211786184
0.26,3.5,1.6445339912932868,3.0191186741677334
0.26,3.7,1.6374431636510636,3.087063403136675
0.26,3.9,1.630362302401652,3.205510066092032
0.28,2.5,1.7799910900789646,3.1295294698579683
0.28,2.7,1.7357146857622987,3.046618084991861
0.28,2.9,1.7035663665631469,3.0353617763601783
0.28,3.1,1.6826258540474075,3.0624512561317987
0.28,3.3,1.6677228010317362,3.0943989820063136
0.28,3.5,1.651912494604141,3.0923910332559963
0.28,3.7,1.6437773145814654,3.1826942657419823
0.28,3.9,1.6336347343726663,3.34007303557465
0.3,2.5,1.7831089839041332,3.060559718896106
0.3,2.7,1.7383082904732625,2.9414978944047987
0.3,2.9,1.709665152484144,2.876041805472274
0.3,3.1,1.690332905215088,3.1804973118226187
0.3,3.3,1.673181201053488,3.182315200238598
0.3,3.5,1.6610499943802948,3.1743636890664964
0.3,3.7,1.6576482565230648,3.223730680433119
0.3,3.9,1.655337401223592,3.467763824302026
0.32,2.5,1.7885995651506243,3.220081458951653
0.32,2.7,1.7465297446570034,2.948473035416596
0.32,2.9,1.7176908465988199,2.99776677747128
0.32,3.1,1.6950538994178688,3.1392335475959223
0.32,3.3,1.6828673462495363,3.292469929593436
0.32,3.5,1.670455682896353,3.285675750038564
0.32,3.7,1.660521979518222,3.3895669630495258
0.32,3.9,1.6601235243065913,3.473548934010455
0.34,2.5,1.7948939584843764,3.0601907594705757
0.34,2.7,1.7564104571576358,2.9747250269041747
0.34,2.9,1.7292327641639855,3.034517187869195
0.34,3.1,1.706609186157193,3.1735642710509526
0.34,3.3,1.6929048558746673,3.275093995722602
0.34,3.5,1.6864957137983403,3.257669796736061
0.34,3.7,1.6800279568329477,3.413408142565409
0.34,3.9,1.6788267333089635,3.66348353065708
0.36,2.5,1.8015600129985196,3.111690572884168
0.36,2.7,1.7634429084462657,3.03740548034592
0.36,2.9,1.7327828346840457,3.2066709535974107
0.36,3.1,1.7131568653659754,3.054794187101313
0.36,3.3,1.7015247186666378,3.35747857249238
0.36,3.5,1.6928937228431384,3.3390184063075363
0.36,3.7,1.686622831594822,3.432005247000102
0.36,3.9,1.6874025414272802,3.5244686388096977
0.38,2.5,1.8058230750614943,3.183007735051562
0.38,2.7,1.7659214358295343,3.0273827418387538
0.38,2.9,1.738926392138403,3.152518709070617
0.38,3.1,1.7209118053908323,3.196790994915387
0.38,3.3,1.7061589780499526,3.328174831024785
0.38,3.5,1.7039794577223741,3.3753128689406964
0.38,3.7,1.6955689704061032,3.4128102070751503
0.38,3.9,1.6989564209999535,3.7276581937988498
0.4,2.5,1.8094517511754953,3.059775680116853
0.4,2.7,1.7729143004690833,3.1657371905318628
