P,n,Paper,Min Time,Time opt,mtpa
2600,200,198736.74126047286,318042.0010819043,156222.72477336045,1.2721372101836623
5000,600,295864.34259014984,324091.4699509997,250847.40254748997,1.179459462547703
4700,400,205968.13800661772,226688.03301493113,165020.04461393706,1.2481401183018606
2100,200,241118.2238249128,335730.37550035457,202572.7872327797,1.1902794403862347
3500,900,581290.013442958,881868.8818536658,519363.8880713165,1.1192345613431216
4000,500,304996.65024833695,397592.8661543032,244239.51812655284,1.248760448709626
2600,200,214248.1469488739,361963.9766363994,158027.06710502662,1.3557686722520903
3700,700,438403.1001564258,678532.8348665742,382163.116679687,1.1471622483230812
4100,700,409715.92045770166,488786.7739707117,344878.91017435165,1.1879993480916882
900,400,900735.4132497264,1085211.1661995412,861771.3440950047,1.0452139299150636
4800,300,178150.37142999604,208820.95395398833,142348.1066563424,1.2515120546006817
2100,900,940115.6301652562,1423814.601297109,863889.2675661144,1.088236265295781
4700,400,215886.60325434981,239262.85778025902,170057.31249232145,1.2694932084387591
4200,600,333174.75715622597,415189.16612913227,292866.6556981943,1.137632948899345
800,1000,2589382.0530863428,3035092.9489754685,2521963.3766246284,1.0267326151864848
2600,200,170668.74231741982,292265.16938340734,136821.3611759901,1.2473837480530003
4800,300,190963.1696273152,205074.20733984507,148288.0517849619,1.287785275540865
5000,300,188401.42715779674,204420.9778050351,142348.1066563424,1.3235260488053875
3200,600,430344.9105294141,710006.6750320551,361905.4720475128,1.1891086036768082
5000,600,288935.33925043483,329471.3998664951,246007.9907864832,1.1744957483970893
1200,1000,1732335.6034989336,2199766.8022453305,1637795.716049949,1.0577238580627117
4700,400,229721.14279032874,263333.0829575936,184114.18593069012,1.2477101730597087
900,400,938715.2971271817,1057750.503207131,888077.0763487899,1.0570200741883622
4800,300,171793.3613543154,191564.44433892262,143441.4983667211,1.1976545372881577
200,400,4118304.3196798298,3975616.4162671324,3952646.7944407123,1.0419105308048546
200,400,3963269.0202334044,3831634.55859818,3806413.395405467,1.0412082473798747
200,400,4037449.239313288,3991934.3177280133,3953897.464165822,1.0211314976942867
2600,200,183891.6106395895,259289.1092951077,148695.00999878772,1.2367033072669267
3500,900,591662.0516656027,922639.858394197,518333.5605396686,1.1414696957873756
2600,900,803584.6784397784,1197265.7048698168,712135.0010958698,1.1284162092906276
900,400,948140.9355147746,1122093.9164195457,927683.7685777327,1.022051875466578
4800,300,179032.33405322468,189147.56268500866,130823.99861272547,1.3684976453227742
4200,600,340446.6923040796,413424.27885605645,288750.04934021475,1.1790359623556432
5000,300,193353.7676475594,198016.72514500935,148288.0517849619,1.3039065880233494
4000,500,337685.4487005288,435258.99657237204,260693.91337576546,1.295333075973229
200,400,3991550.843844356,3924999.422535212,3903697.2839824287,1.0225052183791008
300,300,2164487.5169354146,2168837.2285828516,2093931.776164917,1.033695338870936
2600,200,165531.88660947036,223685.1164664942,151878.72397038777,1.0898951629442488
2100,900,916856.0901347642,1297347.522481611,848656.5627509995,1.0803617510040688
200,400,4282120.364237458,4207359.125093338,4152391.0529393815,1.0312420746611148
800,1000,2574301.3296040054,2937722.350935443,2518992.0282159317,1.0219569179928079
4800,300,176745.4521972656,196086.88121608394,131967.49793690105,1.3393104738696697
5000,600,299022.09805441316,337570.7327755367,242550.04144578037,1.2328264150029287
200,400,4255517.295309303,4124116.3931453084,4100916.683641238,1.0376990374578383
300,300,2040443.373759342,2048190.1166704095,1988132.8951575665,1.0263113591295563
200,400,3895531.8179902835,3857239.723873099,3822056.541696031,1.019224016048085
200,400,4003575.9131044564,3915981.6343225474,3877971.048427521,1.0323893250125906
300,300,2210524.4048536043,2164665.185660559,2106941.9582239296,1.0491624585221089
2600,200,205726.2193193055,305357.0604256685,166659.9343702816,1.2344071782857373
200,400,4078031.126442518,4036545.767968852,3996346.843569554,1.0204397381084178
4800,300,178340.75485205086,206661.04708056842,144863.04739585196,1.2310990142621943
200,400,4283857.554002839,4206109.503038372,4174576.9585997975,1.0261776454205545
4200,600,360659.443679252,404504.8424210119,284396.62562624336,1.2681565503285328
300,300,2087500.4272378166,2056614.6044221902,1984026.3602400303,1.0521535747061685
3200,600,489242.4903256786,757057.3007047569,391782.59531881905,1.248760144456009
3700,700,447940.45010067243,647601.4229967756,382350.1791319223,1.1715450248190402
5000,300,173078.09717246064,190161.29635663418,143441.4983667211,1.2066110514962058
300,300,2071229.3037314818,2084905.2558107679,2017713.7439097015,1.026522870245253
4800,300,174654.63220195752,184574.9351623887,124723.58451777676,1.400333648822161
2600,200,174075.49649369845,254514.8394952816,154271.97005116168,1.1283676252787156
