density,Paper,Min Time,Time opt
0.5,1260600.1523627327,1397646.4905729964,661964.7892956203
0.6,1215691.8085180984,1461178.2553793637,661964.7892956203
0.7,1228189.505688558,1418528.038727351,661964.7892956203
0.8,1249984.8019317794,1415555.2141009592,661964.7892956203
0.9,1222503.8262771238,1398514.5688701302,661964.7892956203
1,1233446.1843694018,1399739.0593205704,661964.7892956203
0.1,1276700.778811035,1415397.9465766903,656762.2775112868
0.2,1246982.820777502,1384880.579544402,656762.2775112868
0.3,1263068.4446431433,1393333.561783804,656762.2775112868
0.4,1190488.332353705,1375893.3392116076,656762.2775112868
0.5,1236986.5251439672,1364066.468500892,656762.2775112868
0.6,1204368.821803991,1345340.6517928075,656762.2775112868
0.7,1186346.1452627033,1344619.8544746083,656762.2775112868
0.8,1199758.6210036462,1367579.3231074824,656762.2775112868
0.9,1191010.0883656824,1331691.2212826707,656762.2775112868
1,1216393.7027097763,1331116.3390976607,656762.2775112868
0.1,1359695.0635730263,1461756.366962626,688682.2888688851
0.2,1277407.2816611058,1455303.479045596,688682.2888688851
0.3,1282799.7243034535,1428457.313878455,688682.2888688851
0.4,1285455.0733759184,1457414.402237551,688682.2888688851
0.5,1281103.1796475726,1443793.9944384457,688682.2888688851
0.6,1233131.2698655208,1407503.0773441691,688682.2888688851
0.7,1243315.6771769451,1391648.6613540987,688682.2888688851
0.8,1246340.5501800654,1396750.9068526495,688682.2888688851
0.9,1267745.6396011433,1405688.062205372,688682.2888688851
1,1223752.6085950145,1378139.9215853377,688682.2888688851
0.1,1287968.4639539963,1460531.084942714,682390.0572946991
0.2,1289870.6132604524,1500608.6840524967,682390.0572946991
0.3,1296048.3745902826,1483156.529235109,682390.0572946991
0.4,1283563.4484471998,1437453.8192813213,682390.0572946991
0.5,1263159.4147184803,1406760.2284290656,682390.0572946991
0.6,1283672.9183925695,1463450.5381098262,682390.0572946991
0.7,1251385.758141352,1410632.2433622463,682390.0572946991
0.8,1230931.6022897824,1403658.3395429621,682390.0572946991
0.9,1222420.9117264375,1404704.807558664,682390.0572946991
1,1246705.9028692194,1390060.9817568683,682390.0572946991
0.1,1275990.184542474,1411241.7687477323,654466.7297662625
0.2,1213396.5966630355,1444856.3659237442,654466.7297662625
0.3,1280119.0824615702,1451952.972819493,654466.7297662625
0.4,1216093.1585624786,1415821.1864893148,654466.7297662625
0.5,1237217.6034849503,1441327.4080445014,654466.7297662625
0.6,1209574.732430133,1414944.6397214895,654466.7297662625
0.7,1208829.0123973854,1385495.435376364,654466.7297662625
0.8,1226119.718526055,1396051.1245255251,654466.7297662625
0.9,1239661.233605903,1419628.2199571987,654466.7297662625
1,1194462.8730742214,1384070.0011014033,654466.7297662625
0.1,1296554.3000373542,1472634.302783273,671096.4806446494
0.2,1244723.5488016668,1459700.1580608326,671096.4806446494
0.3,1216219.8242377704,1412963.8515150659,671096.4806446494
0.4,1227816.366182972,1454914.278626247,671096.4806446494
0.5,1216956.0838035564,1427822.617427412,671096.4806446494
0.6,1263778.1718232888,1435739.9649289271,671096.4806446494
0.7,1226181.4142630775,1387943.3324154331,671096.4806446494
0.8,1275905.4331495797,1423006.920877154,671096.4806446494
0.9,1231811.0925700013,1370711.7476719862,671096.4806446494
1,1282654.2860566808,1481300.8369867974,671096.4806446494
