fat,Paper,Min Time,Time opt
0.4,4366349,8979934,3954763.305198567
0.4,4617474,10361387,4144488.594297012
0.4,4668778,11919939,4176949.3195502353
0.4,4252854,9230930,3834167.495937587
0.4,3856559,9161463,3338910.03399486
0.4,3834770,9371202,3361278.1049233773
0.4,4480406,10320805,3893920.3147457847
0.4,5009908,10917568,4611654.581419093
0.4,4483590,10925801,4013846.646254428
0.4,3758458,8714170,3090384.7049104013
0.5,3102159,8732862,2425280.548435411
0.5,3498269,9308307,2997522.495563436
0.5,3169131,8887051,2453089.146122103
0.5,3831042,10542539,3181660.603885416
0.5,3516000,9383096,2784866.340403349
0.5,3464144,8332544,2884996.3224685835
0.5,3516349,9560579,3122809.1033193143
0.5,3727171,10477204,3033628.495375763
0.5,3296656,9458910,2505719.0926306243
0.5,3800235,10706024,3296917.4194094455
0.5,4068007,11222302,3402777.053063046
0.5,3787248,10235725,2957219.537894562
0.5,3639472,8988649,3108836.2248174
0.5,3350584,10168916,2722277.180938156
0.5,3597362,9611635,2967481.3939880813
0.5,3602259,9439614,2996385.770032308
0.5,3795055,10763977,3215855.1236846317
0.5,4151396,11041016,3493796.758136776
0.5,3486942,9387986,2628976.6956422115
0.5,4218134,11534488,3483351.5937830987
0.5,3467425,8979934,2962590.7682668897
0.5,3908671,10361387,3082749.6670616977
0.5,4144200,11919939,3143078.2428756333
0.5,3285932,9230930,2710749.5868193517
0.5,3331944,9161463,2711774.1870059767
0.5,3249895,9371202,2450448.7463458246
0.5,3658772,10320805,2961578.561638666
0.5,3942697,10917568,3304075.3136286894
0.5,3693634,10925801,2649315.0781679903
0.5,3592563,8714170,2894841.2882923507
0.6,2811574,8732862,1437456.6641774694
0.6,2978256,9308307,1583306.9972135597
0.6,3054096,8887051,2161369.061226958
0.6,3345674,10542539,2403323.7039423697
0.6,2991973,9383096,1941221.3202935993
0.6,3019548,8332544,2114320.411203043
0.6,3146670,9560579,2229240.849787243
0.6,3558129,10477204,2499520.603289179
0.6,3045489,9458910,1720014.341915108
0.6,3273460,10706024,1956606.8574498754
0.6,3448563,11222302,2268986.876740294
0.6,3328819,10235725,2420978.433523507
0.6,2916102,8988649,2093561.13418842
0.6,3158557,10168916,1843558.7568391075
0.6,3039803,9611635,1726966.3986731514
0.6,3116942,9439614,2122992.1333562657
0.6,3453440,10763977,2341894.338721965
0.6,3557761,11041016,2393633.0926781134
0.6,3085183,9387986,1757998.306776667
0.6,3694007,11534488,2570792.7306426656
0.6,2915478,8979934,1703871.4601316466
0.6,3395228,10361387,2173699.9957243395
0.6,3688711,11919939,2201133.936444707
0.6,2992768,9230930,2281358.8398370896
0.6,2925789,9161463,1791673.4844848933
0.6,3169144,9371202,1956092.9720168933
0.6,3438503,10320805,2437183.627088437
0.6,3467631,10917568,2597145.846108747
0.6,3465290,10925801,2096695.5596224456
0.6,3177759,8714170,2107752.04868651
0.7,2829543,8732862,1285037.3006960263
0.7,3030452,9308307,1310963.9288538226
0.7,2851444,8887051,1381091.0815783078
0.7,3340444,10542539,1307447.3703259288
0.7,3013871,9383096,1502542.1162031253
0.7,2902072,8332544,1661746.7440345408
0.7,3182230,9560579,1585995.838049847
0.7,3256456,10477204,1396246.1490286265
0.7,3059816,9458910,1591419.4152633497
0.7,3321537,10706024,1807279.5436212257
0.7,3481049,11222302,1486126.1869620944
0.7,3280212,10235725,1550070.4755964417
0.7,2886997,8988649,1190960.392271041
0.7,3149471,10168916,1436961.9870843238
0.7,3009461,9611635,1272613.396543511
0.7,2976139,9439614,1341516.914393126
0.7,3382215,10763977,2029098.79979236
0.7,3445183,11041016,1419611.1755831293
0.7,3030217,9387986,1157402.1206344906
0.7,3536135,11534488,1500727.5124599913
0.7,2836852,8979934,1444026.3492739997
0.7,3248181,10361387,1327855.708984621
0.7,3704179,11919939,1501232.1983575884
0.7,2933430,9230930,1532432.160330609
0.7,2931031,9161463,1420215.8645650833
0.7,3101718,9371202,1416858.352807634
0.7,3218573,10320805,1318930.921798163
0.7,3383326,10917568,1806811.147522811
0.7,3455712,10925801,1430288.2361213325
0.7,2892635,8714170,1171867.7611639043
0.8,2792690,8732862,770617.0417028224
0.8,3127110,9308307,719103.529335719
0.8,2837587,8887051,850924.5551177259
0.8,3321301,10542539,820098.5255544082
0.8,3020936,9383096,1068978.4477030237
0.8,2865711,8332544,1328387.65718064
0.8,3075596,9560579,834522.1942139068
0.8,3291220,10477204,740867.6783856449
0.8,2989571,9458910,1145008.9389490322
