P,n,File_number,regular,fat,jump,density,Paper,Time opt,Makespan,Model
75,512,700,74,0.324086,0.508721,3.0,0.80494,223608.94649260567,160085.56591998626,1.3968089203268306,General
76,256,600,49,0.247127,0.32032,7.0,0.237052,123755.74930419085,41648.44252403256,2.9714376289768722,General
77,1024,1000,56,0.66855,0.855126,8.0,0.465335,62953.60432892625,46583.35108963575,1.3514185402374947,General
78,128,200,21,0.898587,0.167287,1.0,0.177836,226977.2077998059,191083.23310921152,1.1878447109489694,General
79,8192,900,28,0.384945,0.566966,10.0,0.577573,164251.12974675032,109810.59666555177,1.4957675737525327,General
80,512,1000,76,0.100781,0.684158,2.0,0.294628,131268.48884550392,95329.4200934544,1.3769987136900375,General
81,8192,900,9,0.16733,0.639422,10.0,0.553734,130873.09906575535,79895.7452462611,1.6380484175016798,General
82,2048,200,77,0.406022,0.478461,3.0,0.397584,80481.78723382019,71920.41708618369,1.1190394952434333,General
83,8192,1000,84,0.637089,0.821346,9.0,0.316851,66452.74231377954,56310.26740548294,1.1801176832505864,General
84,1024,600,11,0.845114,0.635967,2.0,0.127899,86192.28781869251,65218.27036418735,1.3215972661860473,General
85,1024,500,68,0.561295,0.346421,1.0,0.244844,248960.6003417599,225638.66198292206,1.1033596731778308,General
86,256,700,41,0.724393,0.109709,6.0,0.825871,356639.95387037564,204801.33537490678,1.7413946701935072,General
87,512,500,23,0.751468,0.820332,7.0,0.432396,56000.63388734069,46076.78175941884,1.215376416255314,General
88,4096,500,43,0.741385,0.816935,1.0,0.424356,78307.66450024777,59493.939479229935,1.3162292694970374,General
89,1024,400,75,0.345105,0.130823,1.0,0.425734,423708.25810136885,357146.4835977379,1.1863710761845299,General
90,2048,400,60,0.626911,0.411008,5.0,0.21605,66193.02130903937,53413.753801267776,1.2392505038181434,General
91,4096,200,14,0.519277,0.703969,4.0,0.221614,43112.97864955453,31659.70487078124,1.361761861821508,General
92,128,800,5,0.195699,0.78373,4.0,0.299127,211942.82731285674,84426.00544789649,2.5103974325026814,General
93,4096,400,29,0.767607,0.842156,5.0,0.359853,76606.86067850009,68990.92324952882,1.110390426309062,General
94,256,400,94,0.788038,0.172852,3.0,0.585806,289213.0594555079,247363.16207008445,1.1691840330435552,General
95,1024,100,82,0.706248,0.373687,6.0,0.690721,47321.997324745265,41615.799165425524,1.1371161499659597,General
96,8192,400,26,0.439094,0.227314,4.0,0.2362,152253.69849178748,120580.49917854788,1.2626726504618293,General
97,128,100,78,0.440845,0.226428,9.0,0.831527,70286.21771535976,55501.21199264603,1.2663906821471351,General
98,2048,600,47,0.881356,0.15646,7.0,0.475287,164132.17364878015,142665.71307534835,1.1504668508690268,General
99,2048,1000,38,0.631054,0.415076,3.0,0.831808,439599.1495240846,360336.3101181494,1.2199690599594195,General
100,4096,800,30,0.71568,0.506146,8.0,0.308233,121849.10878136681,94133.54454054113,1.2944281379831526,General
101,128,300,99,0.605718,0.676056,6.0,0.285135,98509.97391119746,35017.52520551622,2.813162076218894,General
102,256,300,1,0.798583,0.47718,7.0,0.485837,72335.21246398022,44842.51107758433,1.6130945998726378,General
103,8192,200,73,0.211051,0.283267,10.0,0.696614,54689.69206184389,38158.64128795635,1.4332190616835478,General
104,128,600,61,0.788197,0.176221,7.0,0.780394,331678.2681063045,163360.72722450132,2.0303427497019517,General
105,8192,600,54,0.577908,0.247989,10.0,0.167351,131519.3584709772,121589.27436436518,1.0816690794358608,General
106,8192,800,58,0.766024,0.833216,2.0,0.844884,87913.66042592187,74638.46547843942,1.1778599662035818,General
107,1024,500,17,0.25781,0.330995,10.0,0.74025,208866.68828817894,137452.48154279057,1.5195556016437308,General
108,128,700,69,0.218954,0.8015,6.0,0.699292,211372.23197503152,79369.73494939606,2.6631339024855833,General
109,4096,300,74,0.520132,0.200871,9.0,0.204427,82840.61910476943,76891.79569442815,1.0773661657478024,General
110,128,500,44,0.524843,0.312441,9.0,0.211628,173303.89563087848,62351.7675658362,2.779454414790884,General
111,2048,400,49,0.367808,0.551241,2.0,0.447351,160679.60211604854,124736.94873820794,1.2881476077571479,General
112,4096,1000,69,0.339533,0.528849,9.0,0.419937,146086.6099678416,97107.11998289233,1.504386187064122,General
113,128,1000,37,0.69814,0.787848,3.0,0.798775,328205.68058609957,127328.18363232157,2.5776357694211725,General
114,4096,200,96,0.206086,0.277858,4.0,0.596968,121997.43120861796,99887.13852189228,1.2213527488514426,General
115,1024,200,74,0.585612,0.255356,2.0,0.266588,67918.15716944273,56905.95090164368,1.1935158993623103,General
116,1024,1000,78,0.762017,0.149154,8.0,0.55725,375477.5212976324,254936.71337053613,1.4728263981025638,General
117,1024,700,79,0.711499,0.498632,4.0,0.505429,236857.11024501905,196511.4844004837,1.205309251861903,General
118,8192,300,75,0.870783,0.549104,10.0,0.865733,77305.01550274105,42146.23556164081,1.834209259085047,General
119,512,800,17,0.567406,0.24067,1.0,0.65081,821044.6780919995,690213.0352208241,1.189552552900305,General
120,1024,900,14,0.188686,0.265268,1.0,0.276621,467395.7691365106,388482.62446923496,1.2031317224936144,General
121,512,1000,61,0.379896,0.567787,9.0,0.575405,194322.31702375846,144259.09187923066,1.3470368799107595,General
122,2048,100,90,0.561706,0.345543,3.0,0.548995,63588.162340503644,34230.52671477525,1.8576448697488628,General
123,2048,800,90,0.793372,0.180407,6.0,0.499656,259906.97871291093,200001.9215548798,1.2995224080464316,General
124,4096,100,56,0.381611,0.365799,10.0,0.375934,58326.589133631365,49152.0477925239,1.1866563399318415,General
125,1024,1000,96,0.704403,0.884561,3.0,0.807186,97389.55762698626,87656.17777952272,1.1110404319926592,General
126,1024,400,13,0.174513,0.248114,5.0,0.256869,124973.62275415161,106236.39227976458,1.176372993023371,General
127,128,1000,83,0.323485,0.107092,7.0,0.804113,490782.58665668254,218720.29566232482,2.2438822385938333,General
128,4096,1000,14,0.709532,0.496691,10.0,0.700086,200347.62693207484,129220.21608915825,1.5504356283837253,General
129,4096,200,38,0.479715,0.864142,7.0,0.473108,42729.268293282126,37424.99823525101,1.1417306695564509,General
130,8192,900,5,0.247729,0.836127,5.0,0.441715,86013.87776032713,62271.47321623191,1.3812725686070075,General
131,8192,800,2,0.863552,0.250801,2.0,0.6604,592159.6729321571,481710.4778740491,1.229285432082685,General
132,1024,1000,64,0.4402,0.620379,8.0,0.519293,116423.78792059951,70614.57027954298,1.6487218920926783,General
133,1024,400,78,0.102245,0.689565,9.0,0.607296,72109.58782387013,44252.36107529862,1.6295082583541791,General
134,8192,800,15,0.215799,0.686416,5.0,0.298573,111381.50504259803,68639.61815064191,1.6226999514792086,General
135,8192,700,71,0.336017,0.524537,2.0,0.841195,298510.4660381399,234819.98695934584,1.2712310817469754,General
136,128,700,20,0.702088,0.779851,3.0,0.388685,223291.84270516937,88800.76117016196,2.5145262243562603,General
137,128,200,72,0.394906,0.175942,1.0,0.186823,270234.94078297325,227666.24834322743,1.186978494834112,General
138,2048,900,5,0.247729,0.836127,5.0,0.441715,86011.37589906823,62271.47321623191,1.3812323919236935,General
139,2048,700,96,0.25451,0.838536,4.0,0.8474,86959.51685011905,65894.30315831472,1.3196818644730786,General
140,256,700,51,0.31475,0.897052,7.0,0.415316,112365.22655227556,48366.36010081021,2.323210312251578,General
141,8192,500,70,0.57611,0.361377,2.0,0.279473,218826.07655431805,167414.61025664795,1.3070906787577017,General
142,1024,1000,11,0.103925,0.694013,7.0,0.897745,157527.67445928752,114052.16297138289,1.381189714909775,General
143,8192,500,32,0.249996,0.435999,6.0,0.749528,158202.553876774,108145.68172809156,1.4628651958063328,General
144,4096,300,46,0.741354,0.414512,7.0,0.735342,117484.70384325484,92144.49532685484,1.2750051256617474,General
145,4096,900,58,0.775592,0.449467,8.0,0.362687,129426.02601665807,96624.57935134496,1.3394731121782268,General
146,128,600,38,0.193398,0.268482,9.0,0.585857,203388.28425926712,107808.1218050702,1.886576640552343,General
147,512,100,27,0.193416,0.782401,10.0,0.387746,29392.93546529555,22849.866319928216,1.2863504343419674,General
148,8192,800,14,0.47263,0.659025,1.0,0.559553,202597.2218280512,185799.5795123574,1.0904073214793073,General
149,256,200,90,0.517281,0.702481,8.0,0.62128,66772.4846224441,47639.49018411157,1.401620470000614,General
150,4096,1000,77,0.816226,0.204655,9.0,0.121792,98338.60653270579,88788.38772271542,1.1075615748290817,General
151,4096,200,55,0.781683,0.567207,7.0,0.774825,51387.81909634218,35895.9151129629,1.4315784660908328,General
152,2048,100,66,0.841653,0.118329,10.0,0.436519,44401.49176236039,32367.14634321149,1.3718074275544814,General
153,8192,300,51,0.697882,0.371851,7.0,0.779373,119684.19276327449,79440.33604551892,1.5065922265824256,General
154,2048,200,44,0.227299,0.301321,3.0,0.308966,70028.03579591721,53226.015745211014,1.3156730748199568,General
155,256,700,82,0.290622,0.870233,9.0,0.792526,106196.26357116428,52407.49425778283,2.026356441481525,General
156,8192,200,93,0.704732,0.778132,3.0,0.294163,22555.148993617957,20091.500334061056,1.122621437851522,General
157,4096,1000,65,0.771457,0.558805,7.0,0.455316,191018.16614638036,156736.75112649944,1.2187196989442062,General
158,256,300,74,0.520132,0.200871,9.0,0.204427,82930.74024513537,76984.27129776303,1.077242647714003,General
159,1024,600,51,0.521,0.712088,6.0,0.601461,103573.29385390897,63838.40516106773,1.622429219410917,General
160,4096,900,14,0.188686,0.265268,1.0,0.276621,467392.62918614905,388482.62446923496,1.20312363989181,General
161,4096,400,84,0.823799,0.897809,6.0,0.510039,57923.24009125399,56441.842041722426,1.0262464511423368,General
162,512,1000,11,0.103925,0.694013,7.0,0.897745,158812.36225975837,114052.16297138289,1.3924537520573492,General
163,1024,900,48,0.501161,0.686315,3.0,0.181487,112098.24632720284,83768.8311563418,1.338185632768213,General
164,2048,600,7,0.319557,0.394072,2.0,0.311008,180386.783138827,145366.69209829366,1.2409086327482335,General
165,2048,1000,41,0.513846,0.58403,6.0,0.591197,209051.88931999516,124114.40321053391,1.6843483424351862,General
166,512,700,35,0.797893,0.185489,4.0,0.384491,307561.31166862295,209086.7573939592,1.4709746112190116,General
167,512,100,64,0.835771,0.109518,6.0,0.426156,38067.4509691808,33357.5118584631,1.1411957561673698,General
168,128,200,86,0.435028,0.623038,3.0,0.230753,99555.69477547312,37195.49330964004,2.676552612078707,General
169,2048,900,77,0.571137,0.35821,7.0,0.677157,340490.08774334245,236166.62630723437,1.441736680018418,General
170,256,900,3,0.534845,0.213005,5.0,0.132059,196948.85154594283,138442.8795393498,1.4226000802732786,General
171,2048,300,43,0.340829,0.525727,8.0,0.841364,120820.46981352694,75713.73112096167,1.5957537427458421,General
172,1024,500,77,0.704449,0.783432,6.0,0.298018,52787.18847635751,44777.75838563506,1.1788707246518153,General
173,2048,400,72,0.883618,0.15996,9.0,0.172318,103725.38118613142,94018.67907835337,1.103242272736981,General
174,4096,400,58,0.686599,0.875606,6.0,0.881213,42724.00101456158,29048.111459040316,1.470801331604815,General
175,8192,900,98,0.545468,0.62051,3.0,0.6274,214148.87662058295,155561.47710721247,1.3766189457881801,General
176,2048,700,58,0.220126,0.806248,6.0,0.301839,101126.28506333062,91483.66415075141,1.1054026530538787,General
177,256,100,100,0.384945,0.643933,8.0,0.250803,40377.32957331604,33477.598228978335,1.2060999506937529,General
178,1024,300,60,0.159302,0.750772,6.0,0.152271,48296.98864749548,42831.51684479748,1.127603974953828,General
179,512,100,9,0.402947,0.593761,5.0,0.506631,13677.39814348019,11064.831273205229,1.2361144789077438,General
180,4096,800,88,0.806927,0.191161,7.0,0.201831,246729.50021891546,202353.75339573988,1.2192978686013827,General
181,4096,200,67,0.782643,0.855943,10.0,0.467253,46447.504339895575,42449.62169222391,1.0941794646995409,General
182,256,400,72,0.883618,0.15996,9.0,0.172318,120250.86692503798,94155.78667950773,1.27714791799631,General
183,256,600,68,0.696447,0.37295,6.0,0.689092,217119.1162607393,161951.0277511989,1.3406467330006306,General
184,1024,500,2,0.169233,0.756732,8.0,0.67342,84519.3362299557,62302.53654013194,1.3565954281093018,General
185,4096,1000,22,0.644907,0.226642,4.0,0.236528,261835.59962110635,187034.18880639848,1.3999344253158752,General
186,4096,700,66,0.291652,0.767727,6.0,0.373913,105276.51149709741,64777.61785183952,1.6251988725162394,General
187,512,500,45,0.624476,0.809804,2.0,0.330095,66249.71301842044,51456.14267516835,1.2874986264835424,General
188,2048,800,97,0.877666,0.546156,6.0,0.465663,153015.1492253572,116119.18597245147,1.317742179674417,General
189,8192,500,93,0.441353,0.229046,6.0,0.124186,112617.55190140833,82908.01905693996,1.3583432963711788,General
190,256,300,58,0.498927,0.568496,8.0,0.582033,77490.80155763627,49583.78970234551,1.5628253109094372,General
