mu,alpha,average,max
0.22,2.6,1.220081540699899,2.4637977798705224
0.22,2.8,1.2202625864150731,2.4637977798705224
0.22,3.0,1.2202770465621164,2.4637977798705224
0.22,3.2,1.2190044412134262,2.4637977798705224
0.22,3.4,1.2189857626485332,2.4637977798705224
0.22,3.6,1.2185519150760615,2.4637977798705224
0.22,3.8,1.2199015814061396,2.4637977798705224
0.22,4.0,1.2203642117630116,2.4637977798705224
0.22,4.2,1.2185102555045417,2.4637977798705224
0.22,4.4,1.2204325345219362,2.4637977798705224
0.22,4.6,1.2202123260579352,2.4637977798705224
0.22,4.8,1.2183353623626376,2.4637977798705224
0.22,5.0,1.2186578539306596,2.4637977798705224
0.24,2.0,1.2245595254864607,2.4637977798705224
0.24,2.2,1.223765822871646,2.4637977798705224
0.24,2.4,1.224312743040436,2.4637977798705224
0.24,2.6,1.2229640965158732,2.4637977798705224
0.24,2.8,1.2228231812128396,2.4637977798705224
0.24,3.0,1.223275936534589,2.4637977798705224
0.24,3.2,1.2213876372430372,2.4637977798705224
0.24,3.4,1.2234863017525668,2.4637977798705224
0.24,3.6,1.2209709706664145,2.4637977798705224
0.24,3.8,1.2220401496932236,2.4637977798705224
0.24,4.0,1.2221131021671234,2.4637977798705224
0.24,4.2,1.222456102390247,2.4637977798705224
0.24,4.4,1.2229674856754036,2.4637977798705224
0.24,4.6,1.224991969271915,2.4637977798705224
0.24,4.8,1.223867584616693,2.4637977798705224
0.24,5.0,1.2210991598003196,2.4637977798705224
0.26,2.0,1.2285288929079186,2.4637977798705224
0.26,2.2,1.2286067756906276,2.4637977798705224
0.26,2.4,1.2292018574417485,2.4637977798705224
0.26,2.6,1.2297433855352837,2.4637977798705224
0.26,2.8,1.2304978604845558,2.4637977798705224
0.26,3.0,1.2301796750850886,2.4637977798705224
0.26,3.2,1.2295015845657657,2.4637977798705224
0.26,3.4,1.228527087579339,2.4637977798705224
0.26,3.6,1.2277477472466565,2.4637977798705224
0.26,3.8,1.2273457929892806,2.4637977798705224
0.26,4.0,1.227406502209767,2.4637977798705224
0.26,4.2,1.2297314573350049,2.4637977798705224
0.26,4.4,1.2295779557561959,2.4637977798705224
0.26,4.6,1.229234606245948,2.4637977798705224
0.26,4.8,1.2291757638862486,2.4637977798705224
0.26,5.0,1.231001828802224,2.4637977798705224
0.28,2.0,1.2335099632488746,2.4637977798705224
0.28,2.2,1.2336512246383846,2.4637977798705224
0.28,2.4,1.231631898172472,2.4637977798705224
0.28,2.6,1.2320555305636705,2.4637977798705224
