regular,Paper,Min Time,Time opt
0.5,5430740.899947285,8925135.941002063,2984047.355601916
0.6,5677026.895081066,9024436.809047233,3106497.462764241
0.7,5654920.667653903,9210575.465065375,3112334.537276674
0.8,6539504.974835303,8805437.880639553,3573930.08077016
0.9,6188169.528525009,8978187.2975347,3398464.914078978
1,5877836.865909092,8822927.834243184,3221923.0731078163
0.1,4967007.431545802,7393787.492866819,2754110.18147033
0.2,5579735.880000544,7200825.782924589,3092069.8046031534
0.3,5808024.026401728,7498780.330091724,3240211.47767666
0.4,5855644.391709697,7744488.57709234,3244771.2345844507
0.5,5442508.625245165,8321069.417968097,3034899.710813204
0.6,5145816.255215298,7442228.510110613,2881195.176112378
0.7,5810225.675947626,7710067.783149032,3235467.9734315486
0.8,5308942.727364201,7242686.0452471115,2961605.0500061843
0.9,5465234.022628848,7598299.672800146,3004824.9169474333
1,5700762.651490097,7378090.283164501,3162389.6427149177
0.1,6228518.702426581,8851090.409447808,3433261.415062634
0.2,5703126.720615729,8785729.869861891,3138060.000594723
0.3,6700500.30774124,8497478.491315806,3689333.8558236565
0.4,5999390.496527819,9281488.122588737,3306315.9982785177
0.5,5550278.320906563,8733419.31569852,3068470.840778065
0.6,6287436.485866017,8876648.880469304,3478031.3790491265
0.7,5890990.921160261,8340122.893062713,3261513.570147821
0.8,6319584.687116228,8548792.874210685,3517990.73508274
0.9,5893614.384069127,9098021.830116466,3221618.184396854
1,6314524.849148699,8777478.966208765,3495034.8473165804
