mu,alpha,average,max
0.36,4.0,1.2575849848175698,2.4237236277979086
0.36,4.2,1.2570110067016718,2.4742164809373017
0.36,4.4,1.2589831854570381,2.4237236277979086
0.36,4.6,1.2566367820594724,2.4237236277979086
0.36,4.8,1.258499024676949,2.512140001753094
0.36,5.0,1.2567765640162247,2.4237236277979086
0.38,1.0,1.2512960016839694,2.3365935721162465
0.38,1.2,1.2419995125487686,2.3295032736677506
0.38,1.4,1.2405245702329422,2.424590245284534
0.38,1.6,1.2406973174570475,2.3295032736677506
0.38,1.8,1.24240962986303,2.3295032736677506
0.38,2.0,1.2406190458311488,2.3416708524628875
0.38,2.2,1.2412297924275526,2.399696857905668
0.38,2.4,1.2426771373072216,2.3295032736677506
0.38,2.6,1.2410170645711165,2.420052873451406
0.38,2.8,1.243907735529497,2.374902811987464
0.38,3.0,1.2441281560281163,2.395620656569392
0.38,3.2,1.24446795702505,2.472068538204506
0.38,3.4,1.2402494023424884,2.33497498805706
0.38,3.6,1.2424829034505265,2.3295032736677506
0.38,3.8,1.2425277790997749,2.3295032736677506
0.38,4.0,1.2390362585705286,2.3295032736677506
0.38,4.2,1.2398746869913957,2.3295032736677506
0.38,4.4,1.2423124743995353,2.4079735944911653
0.38,4.6,1.2428305800244575,2.3468392217688514
0.38,4.8,1.2414375566926477,2.3295032736677506
0.38,5.0,1.2409934719012456,2.3573449559599133
0.4,1.0,1.2329251669526329,2.385147585550777
0.4,1.2,1.225394559768244,2.3326055925678517
0.4,1.4,1.2284677656961194,2.344357489256749
0.4,1.6,1.224542119240853,2.237095869853832
0.4,1.8,1.2252045324294716,2.236645683283474
0.4,2.0,1.2263162157561187,2.338831789841271
0.4,2.2,1.2258900941276794,2.3385178383103926
0.4,2.4,1.2238743277091282,2.448241543824452
0.4,2.6,1.2288390174609978,2.354293849508677
0.4,2.8,1.2258044073303123,2.446270420062041
0.4,3.0,1.2261986247951555,2.2697821972033867
0.4,3.2,1.2270065582622711,2.220359069241605
0.4,3.4,1.2260778692744834,2.46294742646572
0.4,3.6,1.227673071041875,2.3553468954720027
0.4,3.8,1.2257411217961098,2.3239620289819003
0.4,4.0,1.2272068358486545,2.262365482374931
0.4,4.2,1.2272101683125882,2.503446903458994
0.4,4.4,1.2235706974381841,2.2660779210756865
0.4,4.6,1.2250582330325814,2.222309844348922
0.4,4.8,1.2264001948589445,2.5158435263341663
0.4,5.0,1.225926288332657,2.3387712079058174
0.42,1.0,1.222774616442662,2.3211174223863345
0.42,1.2,1.2170242180969784,2.320897699011152
0.42,1.4,1.2180221445435597,2.47134882776702
0.42,1.6,1.2152308516362158,2.477769455170065
0.42,1.8,1.2174214193497699,2.2679625953595512
0.42,2.0,1.2153945734001816,2.253720243898414
0.42,2.2,1.2145082799045421,2.300381751027563
0.42,2.4,1.2161482259867606,2.394110598463863
0.42,2.6,1.214865844396172,2.163639121982952
0.42,2.8,1.216090705077359,2.295030026211053
0.42,3.0,1.2160964212065954,2.478398455225988
0.42,3.2,1.21446513529187,2.3156376684766924
0.42,3.4,1.2149083992114302,2.354675152485584
0.42,3.6,1.2128499793544856,2.191455130012197
