P,n,Paper,Min Time,Time opt,mtpa
500,700,3144244.521137304,3072148.2965279706,2829391.3255762253,1.1112794800475176
2400,300,311501.14930950274,423850.9817469897,249447.16903555352,1.2487660233382112
3100,400,329234.7274103635,507810.4665978691,267896.1969638311,1.2289637969545861
4100,1000,564425.4016973525,682947.5945744922,499249.8967702737,1.130546857092429
4300,200,170072.92930567515,172352.6140246616,124828.15119872103,1.362456526612546
2000,1000,1071033.4715052247,1596661.522365715,982677.4296299694,1.0899135761249
1300,400,728484.3877148727,896332.3954034062,638829.3927599048,1.1403426266403234
2800,500,439335.28440719954,699614.4832160261,372419.8762510935,1.1796773277240182
2400,300,307574.1741464273,427681.2154591885,252742.123499795,1.2169486031349135
4500,100,75503.12971627804,76292.4435418358,45088.317305537945,1.6745608225881699
4500,900,506125.0122764538,581644.6662177898,411455.778410947,1.230083617323645
900,900,2123788.2264381633,2461740.2945954516,2019748.4536106754,1.051511252622324
4500,100,104417.21551546948,86772.81932507946,82739.16147748545,1.2620047587004244
3100,400,324755.3268389661,454663.6417310848,264575.26991233794,1.2274591156859358
1300,400,766541.2300114039,810307.6896769948,630910.259021729,1.2149766453314301
4500,400,227083.10294338613,250074.7234223554,173497.6570658857,1.3088540028938338
3400,600,413164.6212420684,583541.6079643772,357684.9896305755,1.155107519800575
2400,300,319992.64798944665,412351.025017393,251871.4422634828,1.270460220157481
500,700,2943786.627744766,3001876.7567917197,2756021.793167797,1.068128936803925
4500,100,84136.56190867566,70595.5781231978,54290.25884700422,1.5497542965448283
4500,100,100530.49969581085,88906.94312252273,70156.3045836674,1.4329503284472407
4300,600,333506.0656124249,392916.74122911674,282820.6894753388,1.179213820004161
2800,500,396234.07856761833,658622.8319921377,354623.01224559156,1.1173388778650646
1300,400,677086.7157821385,803962.5644834393,588008.6987224664,1.1514909851728503
3100,400,309438.649063749,468308.9593886661,246584.29301264716,1.254900080143702
4500,100,78194.37397061884,76650.90760813591,46405.29762665181,1.6850311919066263
