P,n,File_number,regular,fat,jump,density,Paper,Time opt,Makespan,Model
103,8192,200,73,0.211051,0.283267,10.0,0.696614,112514.69042300084,38158.64128795635,2.948603163669582,General
104,128,600,61,0.788197,0.176221,7.0,0.780394,645059.813572105,163360.72722450132,3.9486835332559482,General
105,8192,600,54,0.577908,0.247989,10.0,0.167351,201926.63104131154,121589.27436436518,1.6607273305719412,General
106,8192,800,58,0.766024,0.833216,2.0,0.844884,176755.15837518993,74638.46547843942,2.3681510229634695,General
107,1024,500,17,0.25781,0.330995,10.0,0.74025,456249.84540491126,137452.48154279057,3.3193278163033773,General
108,128,700,69,0.218954,0.8015,6.0,0.699292,211321.30290673056,79369.73494939606,2.662492233865505,General
109,4096,300,74,0.520132,0.200871,9.0,0.204427,120535.7242136359,76891.79569442815,1.5676018894480097,General
110,128,500,44,0.524843,0.312441,9.0,0.211628,197365.368840568,62351.7675658362,3.1653532296766596,General
111,2048,400,49,0.367808,0.551241,2.0,0.447351,330474.6245919082,124736.94873820794,2.6493723626789434,General
112,4096,1000,69,0.339533,0.528849,9.0,0.419937,339882.76878687483,97107.11998289233,3.5000808266865815,General
113,128,1000,37,0.69814,0.787848,3.0,0.798775,228510.84287600097,127328.18363232157,1.7946603521484203,General
114,4096,200,96,0.206086,0.277858,4.0,0.596968,258057.7949394495,99887.13852189228,2.583493718592118,General
115,1024,200,74,0.585612,0.255356,2.0,0.266588,146155.8743574069,56905.95090164368,2.5683759262721555,General
116,1024,1000,78,0.762017,0.149154,8.0,0.55725,797630.7307562049,254936.71337053613,3.1287401497048943,General
117,1024,700,79,0.711499,0.498632,4.0,0.505429,459666.4638485628,196511.4844004837,2.339132826007147,General
118,8192,300,75,0.870783,0.549104,10.0,0.865733,155517.9699900856,42146.23556164081,3.689961106078701,General
119,512,800,17,0.567406,0.24067,1.0,0.65081,1782260.1784776044,690213.0352208241,2.5821885237322344,General
120,1024,900,14,0.188686,0.265268,1.0,0.276621,1006976.188590165,388482.62446923496,2.5920752310761594,General
121,512,1000,61,0.379896,0.567787,9.0,0.575405,299192.37239477376,144259.09187923066,2.0739931778112712,General
122,2048,100,90,0.561706,0.345543,3.0,0.548995,141352.57086652826,34230.52671477525,4.129430202589167,General
123,2048,800,90,0.793372,0.180407,6.0,0.499656,551559.4248506352,200001.9215548798,2.7577706282151357,General
124,4096,100,56,0.381611,0.365799,10.0,0.375934,110124.6350918742,49152.0477925239,2.240489258081823,General
125,1024,1000,96,0.704403,0.884561,3.0,0.807186,147239.35338212785,87656.17777952272,1.6797373227072685,General
126,1024,400,13,0.174513,0.248114,5.0,0.256869,272920.9791224488,106236.39227976458,2.5689970570888216,General
127,128,1000,83,0.323485,0.107092,7.0,0.804113,938959.7300571719,218720.29566232482,4.292970285239562,General
128,4096,1000,14,0.709532,0.496691,10.0,0.700086,428162.22995187563,129220.21608915825,3.313430691498426,General
129,4096,200,38,0.479715,0.864142,7.0,0.473108,83667.95772076925,37424.99823525101,2.235616878184953,General
130,8192,900,5,0.247729,0.836127,5.0,0.441715,163816.1350670251,62271.47321623191,2.630677043695253,General
