Fat,Paper,Min Time,Time opt
0.4,1185675.9674487712,1577240.2800551623,661964.7892956203
0.5,1129586.0120712584,1544987.8940506494,661964.7892956203
0.6,1115340.6266273053,1497593.0785982686,661964.7892956203
0.7,1086850.7880399814,1448110.9313934247,661964.7892956203
0.8,1052574.5644386876,1421788.9439355945,661964.7892956203
0.9,1035756.4288412401,1403785.922258752,661964.7892956203
1,1030095.6666587192,1301344.9660227646,661964.7892956203
0.1,3290480.4521893975,3088740.429968891,3088740.429968891
0.2,1554172.3749664999,1741102.8188958848,1288859.8421367018
0.3,1248528.8148923574,1626342.5858572526,768229.3646942734
0.4,1170823.6843896457,1530668.9448004821,656762.2775112868
0.5,1143839.5901231691,1515838.9973001475,656762.2775112868
0.6,1103455.3414456502,1453160.052124999,656762.2775112868
0.7,1096318.0143982037,1449015.9507779256,656762.2775112868
0.8,1084325.8293772303,1439721.1195311758,656762.2775112868
0.9,1048068.6082534357,1385048.283960358,656762.2775112868
1,1016043.7458188862,1336771.4633775037,656762.2775112868
0.1,3373007.6961315344,3168875.136771326,3168875.136771326
0.2,1663486.3575608486,1914867.1691644844,1386645.3455391726
0.3,1255035.7941369258,1691057.222331317,796442.126729674
0.4,1178517.6994015665,1646748.768069452,688682.2888688851
0.5,1173768.9552557494,1552603.8955728286,688682.2888688851
0.6,1168694.1080278712,1544817.9301411174,688682.2888688851
0.7,1121865.4538576019,1513032.0810853902,688682.2888688851
0.8,1107970.3913346848,1488800.5173401118,688682.2888688851
0.9,1068860.1940056824,1415883.8340937498,688682.2888688851
1,1051785.8476292316,1434022.9406376386,688682.2888688851
0.1,3341171.8815333075,3133494.396478219,3133494.396478219
0.2,1614198.5870725638,1844410.6052799418,1307615.5073708335
0.3,1290855.75760621,1710355.7255834402,795516.1301406665
0.4,1217116.4074699625,1583142.069369439,682390.0572946991
0.5,1194253.3795644052,1608007.0087125665,682390.0572946991
0.6,1177619.7419095458,1598747.2599600551,682390.0572946991
0.7,1136634.9088053769,1526884.6807791796,682390.0572946991
0.8,1116320.5065211894,1475822.9106694472,682390.0572946991
0.9,1068033.4709512643,1421402.0249652434,682390.0572946991
1,1056714.2818938834,1353011.3741247908,682390.0572946991
0.1,3411011.463727277,3201735.5792156947,3201735.5792156947
0.2,1694434.038675548,1900490.2337573038,1472243.2036480035
0.3,1304314.8054700259,1705632.4753455222,824888.8737303572
