P,n,File_number,regular,fat,jump,density,Paper,Time opt,Makespan,Model
141,8192,500,70,0.57611,0.361377,2.0,0.279473,47944.377158670766,19820.759038636777,2.4188971302871085,Roofline
142,1024,1000,11,0.103925,0.694013,7.0,0.897745,121755.9069163292,57555.45208145488,2.1154539233575154,Roofline
143,8192,500,32,0.249996,0.435999,6.0,0.749528,47859.03596538445,19402.377590349275,2.4666583124941086,Roofline
144,4096,300,46,0.741354,0.414512,7.0,0.735342,23115.811162725502,8948.403648529578,2.58323295088772,Roofline
145,4096,900,58,0.775592,0.449467,8.0,0.362687,52844.86377860384,14997.042260923685,3.5236857281049674,Roofline
146,128,600,38,0.193398,0.268482,9.0,0.585857,106469.08023704683,92125.98568924166,1.1556899982181699,Roofline
147,512,100,27,0.193416,0.782401,10.0,0.387746,7129.727875943791,2630.436831333006,2.710472949213806,Roofline
148,8192,800,14,0.47263,0.659025,1.0,0.559553,147797.51368893698,96739.53420165837,1.52778814688983,Roofline
149,256,200,90,0.517281,0.702481,8.0,0.62128,12042.093616740678,9905.542323121674,1.2156925107100731,Roofline
150,4096,1000,77,0.816226,0.204655,9.0,0.121792,35848.45772764957,14355.924063056385,2.4971194867143516,Roofline
151,4096,200,55,0.781683,0.567207,7.0,0.774825,21167.253942847132,7513.109726671892,2.817375855393458,Roofline
152,2048,100,66,0.841653,0.118329,10.0,0.436519,4402.9172828389765,1722.6255313737258,2.5559340684610796,Roofline
153,8192,300,51,0.697882,0.371851,7.0,0.779373,17660.88966924366,8042.6307285996,2.195909555618602,Roofline
154,2048,200,44,0.227299,0.301321,3.0,0.308966,12975.634853548128,5033.390368545871,2.577911487778514,Roofline
155,256,700,82,0.290622,0.870233,9.0,0.792526,41859.05068665894,36521.749469970164,1.1461403490836974,Roofline
156,8192,200,93,0.704732,0.778132,3.0,0.294163,8181.905015941018,2593.427486474571,3.1548616873276294,Roofline
157,4096,1000,65,0.771457,0.558805,7.0,0.455316,61087.3751411627,51301.82468203397,1.1907446863689364,Roofline
158,256,300,74,0.520132,0.200871,9.0,0.204427,60298.72265021558,53834.3508089452,1.120078941124637,Roofline
159,1024,600,51,0.521,0.712088,6.0,0.601461,30997.131285276904,8494.927626447261,3.6488988074216815,Roofline
160,4096,900,14,0.188686,0.265268,1.0,0.276621,51678.204699611895,20648.04489824338,2.5028134602714074,Roofline
161,4096,400,84,0.823799,0.897809,6.0,0.510039,34979.57833358428,13797.745697877883,2.53516618580412,Roofline
162,512,1000,11,0.103925,0.694013,7.0,0.897745,125996.97759339244,57614.69946621695,2.18688943552109,Roofline
163,1024,900,48,0.501161,0.686315,3.0,0.181487,45293.16146035957,17955.428283484118,2.5225330604907614,Roofline
164,2048,600,7,0.319557,0.394072,2.0,0.311008,47321.121307142006,23502.678934164418,2.013435210500798,Roofline
165,2048,1000,41,0.513846,0.58403,6.0,0.591197,33091.08512959537,15655.412821944752,2.113715269341886,Roofline
166,512,700,35,0.797893,0.185489,4.0,0.384491,78104.34447479623,20934.092531935385,3.7309639458049815,Roofline
167,512,100,64,0.835771,0.109518,6.0,0.426156,6124.502584168998,2646.199390981218,2.3144524199659857,Roofline
