p,Paper,Min Time,Time opt
1500,5118038,7211745,2775769.6088759624
1500,5255510,8040636,3052855.2485501207
1500,5706186,8175700,3607054.578836198
1500,5458857,7438075,3232363.7228530794
1500,4670136,7025053,2806757.8224841706
2000,3714190,5051750,2530387.6966619184
2000,4026848,5395632,2833546.0159696555
2000,4162772,5473079,2640271.093031301
2000,4695632,6118649,3354861.39268329
2000,4228908,5609205,2888507.7741282145
2000,4141763,5494247,3327385.080486515
2000,4245458,5918992,2953893.9975096094
2000,4697682,6303382,3076084.667716298
2000,4232499,5275341,3195207.04906971
2000,5017122,6148951,3643890.4885822376
2000,5039646,6213268,3288417.1790600354
2000,4512084,6067790,3437297.7488779193
2000,4146891,5281095,2658189.3728072243
2000,4216410,5679363,2864350.9818090154
2000,4099213,5448197,2840260.459851173
2000,4180960,5172439,3197033.7387665007
2000,4561340,5953620,3429015.7032619365
2000,4731493,6273127,3417983.3774406193
2000,4061541,5194325,2688117.486223984
2000,5069483,6330918,3567757.22441211
2000,3848860,5152288,2967594.1101571866
2000,4794212,6202636,3215202.2244276493
2000,5281003,6908239,3431072.902321005
2000,4205016,5432595,3053971.7112605283
2000,4492305,5385589,3302758.6023614015
2000,4262384,5248321,2775768.5473004733
2000,4297776,5904462,3052851.462433091
2000,4835090,6274353,3607054.502984223
2000,4579495,5616998,3232334.408957011
2000,3827318,4890247,2806757.8224841706
2500,3434240,4010029,2530387.6966619184
2500,3604364,4087932,2833546.0159696555
2500,3607843,4225162,2640271.093031301
2500,4057329,4916132,3354861.39268329
2500,3745427,4363923,2888507.7741282145
2500,3867001,4668002,3327385.080486515
2500,3776257,4412402,2953893.9975096094
2500,4110773,4984212,3076084.667716298
2500,3759902,4090798,3195207.04906971
2500,4315516,4837847,3643890.4885822376
2500,4384165,4990033,3288417.1790600354
2500,4212320,4990559,3437297.7488779193
2500,3795877,4223896,2658189.3728072243
2500,3775751,4438711,2864350.9818090154
2500,3588033,3936113,2840260.459851173
2500,3733070,4104873,3197033.7387665007
2500,4140985,5044830,3429015.7032619365
2500,4295436,4872445,3417983.3774406193
2500,3562331,3979251,2688117.486223984
2500,4445883,5091624,3567757.22441211
2500,3449853,3950771,2967594.1101571866
2500,4231497,5120950,3215202.2244276493
2500,4689511,5359750,3431072.902321005
2500,3729720,4117418,3053971.7112605283
2500,4124841,4530766,3302758.6023614015
2500,3658120,3946178,2775768.5473004733
2500,4032262,4694325,3052851.462433091
2500,4450798,5111188,3607054.502984223
2500,3810273,4461834,3232334.408957011
2500,3441312,3809863,2806757.8224841706
3000,3026273,3335662,2530387.6966619184
3000,3274680,3550347,2833546.0159696555
3000,3262408,3561788,2640271.093031301
3000,3905884,4032042,3354861.39268329
3000,3438766,3606810,2888507.7741282145
3000,3576220,3785880,3327385.080486515
3000,3296660,3700510,2953893.9975096094
3000,3741708,3941133,3076084.667716298
3000,3411228,3528878,3195207.04906971
