mu,Paper,Min Time,Time opt
0.14,1846676,1396276,630414.4107754435
0.14,1943723,1446036,662512.3984567322
0.14,1917562,1478696,668547.9561378651
0.14,2142998,1468762,680043.2235309207
0.14,1773454,1528810,693004.7815155316
0.14,2009162,1438755,669099.2209609596
0.14,1715247,1519974,708630.5724702912
0.16,1638149,1474762,680994.575741888
0.16,1500523,1502502,665668.3560278681
0.16,1565481,1405905,651305.3816708077
0.16,1688700,1482464,695183.7690020413
0.16,1546235,1450487,661962.9561917708
0.16,1438077,1432607,656760.4495093515
0.16,1551628,1525927,688680.4760887198
0.16,1669894,1514451,682388.2379183229
0.16,1734885,1438300,654464.7830271883
0.16,1823809,1423232,671094.6253296196
0.16,1666736,1494655,687968.1991749887
0.16,1709334,1504269,689580.9764586004
0.16,1385822,1432603,648486.2089159007
0.16,1503438,1427687,654292.812703227
0.16,1503398,1466848,680483.9164037626
0.16,1495074,1411237,648587.8302313236
0.16,1725803,1478751,677632.4893569172
0.16,1538075,1517151,676624.4427130695
0.16,1539186,1513814,705587.8103228756
0.16,1548154,1433918,664365.370392963
0.16,1408696,1401608,640319.276471287
0.16,1596960,1509752,690307.7181537312
0.16,1488463,1480516,685089.6095134421
0.16,1595455,1396276,630414.4107754435
0.16,1645082,1446036,662512.3984567322
0.16,1624831,1478696,668547.9561378651
0.16,1799438,1468762,680043.2235309207
0.16,1496000,1528810,693004.7815155316
0.16,1704361,1438755,669099.2209609596
0.16,1448960,1519974,708630.5724702912
0.18,1413626,1474762,680994.575741888
0.18,1311409,1502502,665668.3560278681
0.18,1351422,1405905,651305.3816708077
0.18,1449178,1482464,695183.7690020413
0.18,1327151,1450487,661962.9561917708
0.18,1247375,1432607,656760.4495093515
0.18,1325819,1525927,688680.4760887198
0.18,1437232,1514451,682388.2379183229
0.18,1495508,1438300,654464.7830271883
0.18,1563724,1423232,671094.6253296196
0.18,1430336,1494655,687968.1991749887
0.18,1465662,1504269,689580.9764586004
0.18,1200934,1432603,648486.2089159007
0.18,1287975,1427687,654292.812703227
0.18,1308410,1466848,680483.9164037626
0.18,1289247,1411237,648587.8302313236
0.18,1493199,1478751,677632.4893569172
0.18,1313105,1517151,676624.4427130695
0.18,1338226,1513814,705587.8103228756
0.18,1331158,1433918,664365.370392963
0.18,1210817,1401608,640319.276471287
0.18,1376667,1509752,690307.7181537312
0.18,1284485,1480516,685089.6095134421
0.18,1349008,1396276,630414.4107754435
0.18,1417940,1446036,662512.3984567322
0.18,1406751,1478696,668547.9561378651
0.18,1552313,1468762,680043.2235309207
0.18,1306143,1528810,693004.7815155316
0.18,1478248,1438755,669099.2209609596
0.18,1243265,1519974,708630.5724702912
0.2,1238174,1474762,680994.575741888
0.2,1135698,1502502,665668.3560278681
0.2,1172963,1405905,651305.3816708077
0.2,1282227,1482464,695183.7690020413
0.2,1158046,1450487,661962.9561917708
0.2,1104070,1432607,656760.4495093515
0.2,1173969,1525927,688680.4760887198
0.2,1244460,1514451,682388.2379183229
0.2,1298531,1438300,654464.7830271883
0.2,1358732,1423232,671094.6253296196
0.2,1233744,1494655,687968.1991749887
0.2,1276636,1504269,689580.9764586004
0.2,1065522,1432603,648486.2089159007
0.2,1130760,1427687,654292.812703227
0.2,1128245,1466848,680483.9164037626
0.2,1116449,1411237,648587.8302313236
0.2,1300828,1478751,677632.4893569172
0.2,1145795,1517151,676624.4427130695
0.2,1176345,1513814,705587.8103228756
0.2,1176025,1433918,664365.370392963
0.2,1068943,1401608,640319.276471287
0.2,1210423,1509752,690307.7181537312
0.2,1114989,1480516,685089.6095134421
0.2,1186780,1396276,630414.4107754435
0.2,1238189,1446036,662512.3984567322
0.2,1227651,1478696,668547.9561378651
0.2,1347802,1468762,680043.2235309207
0.2,1130714,1528810,693004.7815155316
0.2,1286920,1438755,669099.2209609596
0.2,1096852,1519974,708630.5724702912
0.22,1083533,1474762,680994.575741888
0.22,1015967,1502502,665668.3560278681
0.22,1043686,1405905,651305.3816708077
0.22,1140029,1482464,695183.7690020413
0.22,1026821,1450487,661962.9561917708
0.22,960581,1432607,656760.4495093515
0.22,1025767,1525927,688680.4760887198
0.22,1101220,1514451,682388.2379183229
0.22,1137107,1438300,654464.7830271883
0.22,1194253,1423232,671094.6253296196
0.22,1092875,1494655,687968.1991749887
0.22,1125706,1504269,689580.9764586004
0.22,945901,1432603,648486.2089159007
0.22,987963,1427687,654292.812703227
0.22,1013966,1466848,680483.9164037626
0.22,997623,1411237,648587.8302313236
0.22,1151014,1478751,677632.4893569172
0.22,1014649,1517151,676624.4427130695
0.22,1055664,1513814,705587.8103228756
0.22,1022418,1433918,664365.370392963
0.22,960021,1401608,640319.276471287
0.22,1069169,1509752,690307.7181537312
0.22,994091,1480516,685089.6095134421
0.22,1031132,1396276,630414.4107754435
0.22,1091492,1446036,662512.3984567322
0.22,1070440,1478696,668547.9561378651
0.22,1180708,1468762,680043.2235309207
0.22,1002182,1528810,693004.7815155316
0.22,1130234,1438755,669099.2209609596
0.22,983200,1519974,708630.5724702912
0.24,992240,1474762,680994.575741888
0.24,920770,1502502,665668.3560278681
0.24,935544,1405905,651305.3816708077
0.24,1020034,1482464,695183.7690020413
0.24,911293,1450487,661962.9561917708
0.24,866845,1432607,656760.4495093515
0.24,923242,1525927,688680.4760887198
0.24,1001993,1514451,682388.2379183229
0.24,1033444,1438300,654464.7830271883
0.24,1050767,1423232,671094.6253296196
0.24,963496,1494655,687968.1991749887
0.24,1005648,1504269,689580.9764586004
0.24,865981,1432603,648486.2089159007
0.24,899801,1427687,654292.812703227
0.24,924750,1466848,680483.9164037626
0.24,906029,1411237,648587.8302313236
0.24,1008910,1478751,677632.4893569172
0.24,907517,1517151,676624.4427130695
0.24,951098,1513814,705587.8103228756
0.24,923733,1433918,664365.370392963
0.24,866259,1401608,640319.276471287
0.24,951508,1509752,690307.7181537312
0.24,910964,1480516,685089.6095134421
0.24,922269,1396276,630414.4107754435
0.24,977989,1446036,662512.3984567322
0.24,971840,1478696,668547.9561378651
0.24,1052559,1468762,680043.2235309207
0.24,904945,1528810,693004.7815155316
0.24,1020289,1438755,669099.2209609596
0.24,892698,1519974,708630.5724702912
0.26,896789,1474762,680994.575741888
0.26,839678,1502502,665668.3560278681
0.26,839532,1405905,651305.3816708077
0.26,946772,1482464,695183.7690020413
0.26,843175,1450487,661962.9561917708
0.26,812137,1432607,656760.4495093515
0.26,849147,1525927,688680.4760887198
0.26,923174,1514451,682388.2379183229
0.26,934875,1438300,654464.7830271883
0.26,944230,1423232,671094.6253296196
0.26,877995,1494655,687968.1991749887
0.26,906269,1504269,689580.9764586004
0.26,803056,1432603,648486.2089159007
0.26,843419,1427687,654292.812703227
0.26,896179,1466848,680483.9164037626
0.26,832850,1411237,648587.8302313236
0.26,912638,1478751,677632.4893569172
0.26,852856,1517151,676624.4427130695
0.26,886580,1513814,705587.8103228756
0.26,834422,1433918,664365.370392963
0.26,811244,1401608,640319.276471287
0.26,894090,1509752,690307.7181537312
0.26,828334,1480516,685089.6095134421
0.26,840562,1396276,630414.4107754435
0.26,913554,1446036,662512.3984567322
0.26,887185,1478696,668547.9561378651
0.26,954306,1468762,680043.2235309207
0.26,832496,1528810,693004.7815155316
0.26,903652,1438755,669099.2209609596
0.26,836884,1519974,708630.5724702912
0.28,830898,1474762,680994.575741888
0.28,810545,1502502,665668.3560278681
0.28,793103,1405905,651305.3816708077
0.28,884293,1482464,695183.7690020413
0.28,819731,1450487,661962.9561917708
0.28,791187,1432607,656760.4495093515
0.28,826722,1525927,688680.4760887198
0.28,837165,1514451,682388.2379183229
0.28,863072,1438300,654464.7830271883
0.28,858962,1423232,671094.6253296196
0.28,818519,1494655,687968.1991749887
0.28,846810,1504269,689580.9764586004
0.28,767002,1432603,648486.2089159007
0.28,809043,1427687,654292.812703227
0.28,840057,1466848,680483.9164037626
0.28,789453,1411237,648587.8302313236
0.28,832859,1478751,677632.4893569172
0.28,805047,1517151,676624.4427130695
0.28,852842,1513814,705587.8103228756
0.28,798376,1433918,664365.370392963
0.28,769894,1401608,640319.276471287
0.28,840853,1509752,690307.7181537312
0.28,797465,1480516,685089.6095134421
0.28,796784,1396276,630414.4107754435
0.28,850285,1446036,662512.3984567322
0.28,834587,1478696,668547.9561378651
0.28,875021,1468762,680043.2235309207
0.28,812285,1528810,693004.7815155316
0.28,819925,1438755,669099.2209609596
0.28,811728,1519974,708630.5724702912
0.3,814752,1474762,680994.575741888
0.3,784480,1502502,665668.3560278681
0.3,771574,1405905,651305.3816708077
0.3,863697,1482464,695183.7690020413
0.3,811960,1450487,661962.9561917708
0.3,783374,1432607,656760.4495093515
0.3,816075,1525927,688680.4760887198
0.3,807666,1514451,682388.2379183229
0.3,827481,1438300,654464.7830271883
0.3,821879,1423232,671094.6253296196
0.3,813204,1494655,687968.1991749887
0.3,821524,1504269,689580.9764586004
0.3,776739,1432603,648486.2089159007
0.3,780354,1427687,654292.812703227
0.3,817207,1466848,680483.9164037626
0.3,773801,1411237,648587.8302313236
0.3,808705,1478751,677632.4893569172
0.3,801059,1517151,676624.4427130695
0.3,843011,1513814,705587.8103228756
0.3,779636,1433918,664365.370392963
0.3,759513,1401608,640319.276471287
0.3,821581,1509752,690307.7181537312
0.3,804245,1480516,685089.6095134421
0.3,759107,1396276,630414.4107754435
0.3,824528,1446036,662512.3984567322
0.3,818118,1478696,668547.9561378651
0.3,835980,1468762,680043.2235309207
0.3,799307,1528810,693004.7815155316
0.3,802573,1438755,669099.2209609596
0.3,830148,1519974,708630.5724702912
0.32,814004,1474762,680994.575741888
0.32,793396,1502502,665668.3560278681
0.32,780779,1405905,651305.3816708077
0.32,840517,1482464,695183.7690020413
0.32,805203,1450487,661962.9561917708
0.32,786934,1432607,656760.4495093515
0.32,823913,1525927,688680.4760887198
0.32,815728,1514451,682388.2379183229
0.32,816564,1438300,654464.7830271883
0.32,809390,1423232,671094.6253296196
0.32,817254,1494655,687968.1991749887
0.32,829243,1504269,689580.9764586004
0.32,769908,1432603,648486.2089159007
0.32,789339,1427687,654292.812703227
0.32,823348,1466848,680483.9164037626
0.32,773759,1411237,648587.8302313236
0.32,797893,1478751,677632.4893569172
0.32,809281,1517151,676624.4427130695
0.32,857830,1513814,705587.8103228756
0.32,787942,1433918,664365.370392963
0.32,767786,1401608,640319.276471287
0.32,830615,1509752,690307.7181537312
0.32,805615,1480516,685089.6095134421
0.32,761455,1396276,630414.4107754435
0.32,818316,1446036,662512.3984567322
0.32,813899,1478696,668547.9561378651
0.32,817516,1468762,680043.2235309207
0.32,825776,1528810,693004.7815155316
0.32,796540,1438755,669099.2209609596
0.32,837466,1519974,708630.5724702912
0.34,849825,1474762,680994.575741888
0.34,821538,1502502,665668.3560278681
0.34,803134,1405905,651305.3816708077
0.34,874023,1482464,695183.7690020413
0.34,828315,1450487,661962.9561917708
0.34,818282,1432607,656760.4495093515
0.34,847271,1525927,688680.4760887198
0.34,845495,1514451,682388.2379183229
0.34,823276,1438300,654464.7830271883
0.34,824952,1423232,671094.6253296196
0.34,855889,1494655,687968.1991749887
0.34,857788,1504269,689580.9764586004
0.34,808009,1432603,648486.2089159007
0.34,806338,1427687,654292.812703227
0.34,849933,1466848,680483.9164037626
0.34,802272,1411237,648587.8302313236
0.34,832724,1478751,677632.4893569172
0.34,836231,1517151,676624.4427130695
0.34,878445,1513814,705587.8103228756
0.34,823486,1433918,664365.370392963
0.34,800135,1401608,640319.276471287
0.34,853919,1509752,690307.7181537312
0.34,842974,1480516,685089.6095134421
0.34,783904,1396276,630414.4107754435
0.34,841678,1446036,662512.3984567322
0.34,841918,1478696,668547.9561378651
0.34,835821,1468762,680043.2235309207
0.34,849949,1528810,693004.7815155316
0.34,831826,1438755,669099.2209609596
0.34,878353,1519974,708630.5724702912
0.36,903837,1474762,680994.575741888
0.36,892506,1502502,665668.3560278681
0.36,872687,1405905,651305.3816708077
0.36,924222,1482464,695183.7690020413
0.36,878470,1450487,661962.9561917708
0.36,874118,1432607,656760.4495093515
0.36,923435,1525927,688680.4760887198
0.36,908807,1514451,682388.2379183229
0.36,878229,1438300,654464.7830271883
0.36,886080,1423232,671094.6253296196
0.36,923247,1494655,687968.1991749887
0.36,927884,1504269,689580.9764586004
0.36,864137,1432603,648486.2089159007
0.36,867468,1427687,654292.812703227
0.36,910885,1466848,680483.9164037626
0.36,859423,1411237,648587.8302313236
0.36,893439,1478751,677632.4893569172
0.36,912306,1517151,676624.4427130695
0.36,935326,1513814,705587.8103228756
0.36,884237,1433918,664365.370392963
0.36,855795,1401608,640319.276471287
0.36,913867,1509752,690307.7181537312
0.36,910519,1480516,685089.6095134421
0.36,833192,1396276,630414.4107754435
0.36,903835,1446036,662512.3984567322
0.36,890830,1478696,668547.9561378651
0.36,905737,1468762,680043.2235309207
0.36,916513,1528810,693004.7815155316
0.36,891585,1438755,669099.2209609596
0.36,931744,1519974,708630.5724702912
0.38,1093463,1474762,680994.575741888
0.38,1093315,1502502,665668.3560278681
0.38,1057999,1405905,651305.3816708077
0.38,1084892,1482464,695183.7690020413
0.38,1075573,1450487,661962.9561917708
0.38,1048347,1432607,656760.4495093515
0.38,1113452,1525927,688680.4760887198
0.38,1085798,1514451,682388.2379183229
0.38,1044612,1438300,654464.7830271883
0.38,1047790,1423232,671094.6253296196
0.38,1114004,1494655,687968.1991749887
0.38,1117814,1504269,689580.9764586004
0.38,1042610,1432603,648486.2089159007
0.38,1032401,1427687,654292.812703227
0.38,1090402,1466848,680483.9164037626
0.38,1038455,1411237,648587.8302313236
0.38,1075745,1478751,677632.4893569172
0.38,1098764,1517151,676624.4427130695
0.38,1125585,1513814,705587.8103228756
0.38,1054333,1433918,664365.370392963
0.38,1027579,1401608,640319.276471287
0.38,1125296,1509752,690307.7181537312
0.38,1103130,1480516,685089.6095134421
0.38,1025983,1396276,630414.4107754435
0.38,1069452,1446036,662512.3984567322
0.38,1078918,1478696,668547.9561378651
0.38,1088735,1468762,680043.2235309207
0.38,1119719,1528810,693004.7815155316
0.38,1062591,1438755,669099.2209609596
0.38,1119632,1519974,708630.5724702912
