P,n,Paper,Min Time,Time opt,mtpa
1400,500,742131.7728321584,947827.1863270398,703671.9101885909,1.0546559583901252
3700,400,247646.19389529334,361317.50423814193,211010.6639990502,1.1736193290041874
200,500,5321732.225949492,5162644.296603688,5117911.784387422,1.03982492277101
600,300,1065560.8072652316,1130096.0261647133,1008856.8719548507,1.0562061248594226
3200,900,667190.9019131896,1008069.1329014127,578609.6883903942,1.153093208254454
4900,400,187924.3657963504,211898.2272848911,161332.52222206988,1.164826305372438
600,300,955613.1032150217,1028659.0036358787,910743.0644661252,1.0492675052927238
900,900,2067095.6779983712,2468887.552096015,2019748.4536106754,1.0234421391946378
200,500,5006078.448597514,4958987.305507324,4908485.872703912,1.019882419635007
3000,400,310898.190196274,477644.16292461235,273394.44557608257,1.1371781513013752
600,300,1038528.9039135487,1065731.2595458163,997788.6761422141,1.0408305172682957
4600,500,284422.39001131133,308764.61263850314,217065.76826995699,1.3103051313811274
600,300,1045126.4226378641,1137939.653557419,1010968.49399918,1.0337873324850733
200,500,5237732.909719339,5156835.516338656,5033209.689972146,1.0406347504564875
4700,600,339053.7845854247,361645.72375053447,277514.5116622374,1.2217515493319018
4800,500,265253.6751672135,293365.2652409314,208283.00259983508,1.2735253086246008
600,300,1060725.2926671244,1095128.5658317017,1007485.7690539312,1.0528439460372598
4900,400,207776.9845906775,225820.13986149698,155363.812057366,1.337357662889725
600,300,1082513.0571967515,1125012.4461756714,1031232.1066647712,1.0497278451674996
1400,500,778357.035567896,1026112.1476439113,737871.9386664855,1.0548673757326739
2600,800,675810.0120916455,1056980.9868913007,618131.1681685026,1.0933116576115114
4600,500,267945.39008022164,316623.9132093132,212382.18967526336,1.2616189261911064
4600,900,510630.3275755409,578911.3841372655,402511.08757592645,1.2686118304237266
3100,700,507362.9116254209,784982.0462728069,456130.17152091675,1.1123204368035426
200,900,9296806.102724487,9186537.567785153,9070837.3094442,1.0249115694143272
1900,500,573691.928791297,830690.6262228669,537627.2966383325,1.0670811031702983
4900,400,225476.66116457904,227821.30430124374,161383.56996595193,1.3971475610072897
3700,400,283183.0196541674,383330.4543560705,224453.57042915575,1.2616552238965093
4800,500,336456.7447913635,347680.4424720037,288145.1780149138,1.167663977961655
4700,600,394490.0493034088,436656.3917972051,314954.4837664354,1.2525303484676076
3000,400,298288.5883986935,462572.86142280744,254803.76944640206,1.1706600300567314
1900,500,576273.3448737826,782815.447766277,525527.6494956854,1.096561418655697
4600,500,306231.24336776306,347596.90207523707,237834.46181356232,1.287581459106699
1400,500,773801.8587539508,997376.9613912628,731130.2549124889,1.058363887357622
4900,400,208862.16702583703,239280.5318112988,159334.58301969094,1.3108401394568896
2800,1000,796028.3667313884,1238076.0655094946,731044.4916993293,1.088891819540289
2600,800,698350.5634270129,1090272.9908471708,615610.1584681909,1.134403898019979
3100,700,508682.8881552936,789470.3359953101,456353.4396090686,1.114668684410602
3700,400,256075.01923838689,360788.54761118616,221671.17208871557,1.1552021709701723
1900,500,549980.4255782282,780195.1251280423,514188.4592137955,1.069608653642595
900,900,2063233.3914924287,2431493.05902236,2015741.6243209336,1.023560443758507
3000,400,292387.6161712986,476332.40226281545,258531.4032285014,1.1309559013721577
4700,600,317235.73548980465,354462.5097487306,266858.9388803085,1.188776875231791
4900,400,220763.29553177883,236646.31125274237,176977.28425804104,1.2474103467984952
4600,500,270243.1815696327,289087.42543629225,215857.4857147079,1.2519518638644975
200,900,9083474.015998434,8992001.071007702,8910893.908885494,1.0193673170029387
1900,500,585478.4656413564,943857.8121907231,548829.291317401,1.0667770013440487
1400,500,750614.7008209992,1010603.279449013,701212.2675291302,1.070452893623708
2000,1000,1099412.7771327093,1524120.7270663704,1023462.2883790612,1.0742093671804331
4900,800,399373.91207189416,456803.32283535897,334121.1125954038,1.1952968460137587
4900,400,224296.91631796246,240262.06216784724,167384.35443433624,1.3400112398554707
4600,500,260557.8938950637,298966.96542398265,214161.01614435375,1.216644833807832
3100,700,496649.35023198,745363.3804895804,444519.64405932213,1.11727199656828
1900,500,562322.6602383978,843375.3653032717,522602.33383560856,1.0760048775734778
4700,600,301413.43820856255,364509.0203459155,261710.62849625872,1.151704995476985
2600,800,689971.5997279828,1089300.950306835,630520.6412051192,1.0942886792876987
