P,n,Paper,Min Time,Time opt
100,1000,0,20095710.61325609,20095710.613256123
100,100,0,1988720.6496210184,1988720.6496210184
100,200,0,4333158.293627319,4333158.293627322
100,300,0,6065810.96399508,6065810.96399508
100,400,0,7755942.096855038,7755942.096855042
100,500,0,10235823.568774836,10235823.568774844
100,600,0,11944658.27630221,11944658.27630222
100,700,0,13142467.835551556,13142467.835551558
100,800,0,16393536.671333121,16393536.671333099
100,900,0,17529660.984712023,17529660.984712057
100,1000,0,20347364.989289414,20347364.989289388
100,100,0,1886907.7568692483,1886907.7568692472
100,200,0,4011071.2213302054,4011071.221330204
100,300,0,6044914.614323588,6044914.614323587
100,400,0,7992693.6871391,7992693.687139108
100,500,0,9816971.745407825,9816971.745407823
100,600,0,12126268.114406899,12126268.114406893
100,700,0,13554170.730965905,13554170.73096589
100,800,0,15955739.480371242,15955739.480371261
100,900,0,17807310.812854502,17807310.81285451
100,1000,0,20614053.172200803,20614053.17220079
100,100,0,2132847.4444692265,2132847.444469226
100,200,0,4254028.531888373,4254028.531888373
100,300,0,6187392.639988628,6187392.639988627
100,400,0,8349153.917199598,8349153.917199595
100,500,0,10066419.37994428,10066419.379944293
100,600,0,11651237.265828963,11651237.265828945
100,700,0,13759680.356530402,13759680.356530404
100,800,0,16160715.959789654,16160715.959789645
100,900,0,18204370.61209077,18204370.612090766
100,1000,0,19128267.139689453,19128267.139689453
100,100,0,2138240.101767833,2138240.101767833
100,200,0,4061600.6200054833,4061600.620005482
100,300,0,6026189.340559468,6026189.340559461
100,400,0,7844275.441223837,7844275.441223837
100,500,0,10319522.987624824,10319522.987624826
100,600,0,12084112.544199971,12084112.544199975
100,700,0,14281431.819700785,14281431.819700778
100,800,0,16314878.988701183,16314878.98870118
100,900,0,18072956.64919999,18072956.64919995
100,1000,0,19947980.019460194,19947980.019460198
100,100,0,1839124.8848123688,1839124.8848123688
100,200,0,3968848.6185263023,3968848.618526303
100,300,0,6193570.880225226,6193570.880225217
100,400,0,7976102.304492249,7976102.304492247
100,500,0,10343714.646879004,10343714.646879006
100,600,0,12193979.705515984,12193979.705515988
100,700,0,14433845.517583907,14433845.517583912
100,800,0,16065423.685257636,16065423.685257662
100,900,0,18523065.176410764,18523065.176410764
100,1000,0,20198433.06811623,20198433.068116236
100,100,0,1869004.7134767908,1869004.7134767908
100,200,0,3919224.5765586444,3919224.576558648
100,300,0,5958546.966549438,5958546.966549436
100,400,0,7974774.466019612,7974774.466019628
100,500,0,9727293.13373852,9727293.13373851
100,600,0,12055657.19093258,12055657.190932563
100,700,0,13807190.102695568,13807190.10269556
100,800,0,16069736.326404214,16069736.326404203
100,900,0,17818448.834531385,17818448.834531397
100,1000,0,19677955.916143302,19677955.916143373
100,100,0,2106188.7822747948,2106188.782274795
100,200,0,3946638.4405065547,3946638.4405065505
100,300,0,6027608.5267227655,6027608.526722762
100,400,0,7747637.965949782,7747637.965949782
100,500,0,9814392.190548407,9814392.190548403
100,600,0,12191527.493445061,12191527.493445063
100,700,0,14467415.355283469,14467415.35528348
100,800,0,15777310.230967155,15777310.230967147
100,900,0,18425530.92753653,18425530.927536506
100,1000,0,20085041.005566757,20085041.00556674
100,100,0,2030620.4726184309,2030620.472618429
100,200,0,4122197.129615018,4122197.1296150177
100,300,0,5897698.188391729,5897698.188391726
100,400,0,8130062.320359035,8130062.3203590335
100,500,0,10207258.746056452,10207258.74605644
100,600,0,12261002.29331823,12261002.293318238
100,700,0,13778533.965672975,13778533.96567298
100,800,0,16101659.56738782,16101659.567387834
100,900,0,17540419.46189581,17540419.461895805
100,1000,0,19959458.959905107,19959458.95990512
100,100,0,2247623.5631514248,2247623.563151425
100,200,0,4184225.6288810964,4184225.628881093
100,300,0,5987893.958438837,5987893.958438838
100,400,0,7739066.6643033335,7739066.6643033195
100,500,0,9728817.453469852,9728817.453469852
100,600,0,11925099.688421786,11925099.688421758
100,700,0,14297663.575853288,14297663.575853273
100,800,0,16054283.091242637,16054283.091242611
100,900,0,18289897.889085967,18289897.889085963
100,1000,0,20261201.365083754,20261201.365083784
100,100,0,2050199.774616629,2050199.774616628
100,200,0,3959723.360250268,3959723.3602502714
100,300,0,6086281.247434051,6086281.247434044
100,400,0,8409962.718872877,8409962.718872875
100,500,0,10164487.340353759,10164487.340353757
100,600,0,11751721.50081201,11751721.500811988
100,700,0,13739926.57237119,13739926.572371196
100,800,0,15916341.49414666,15916341.494146636
100,900,0,17879105.30886367,17879105.308863655
100,1000,0,19966673.221124936,19966673.221124943
